Time,Start,Max,Min,End,Tot_trans
1515110400000,1879999,1880000,1863814,1879999,0.2231
1515110460000,1879994,1880000,1864800,1880000,0.2522
1515110520000,1879999,1879999,1865632,1865642,0.0582
1515110580000,1878499,1878499,1866378,1866378,0.0082
1515110640000,1877847,1877847,1866775,1867334,0.0936
1515110700000,1879333,1879333,1866000,1866674,0.2333
1515110760000,1866654,1866669,1866634,1866669,0.0255
1515110820000,1866669,1866669,1866669,1866669,0.0000
1515110880000,1866067,1866669,1865642,1866669,0.0553
1515110940000,1866669,1866669,1866669,1866669,0.0075
1515111000000,1866614,1880000,1866613,1867397,1.0289
1515111060000,1867417,1879999,1867412,1879398,0.0162
1515111120000,1879999,1880000,1868789,1868789,0.0856
1515111180000,1879984,1880000,1879984,1880000,0.8400
1515111240000,1870932,1871371,1866633,1871371,0.0568
1515111300000,1867380,1879334,1866563,1866629,0.4937
1515111360000,1879326,1879326,1865687,1875687,0.0100
1515111420000,1875679,1875679,1875679,1875679,0.0010
1515111480000,1867756,1875679,1867756,1868171,0.3041
1515111540000,1868170,1872990,1868160,1868160,0.0497
1515111600000,1868149,1868149,1865642,1865642,0.1226
1515111660000,1866015,1868123,1865642,1868123,0.2022
1515111720000,1865722,1865782,1848533,1850000,1.0045
1515111780000,1848534,1850000,1848281,1848511,0.1026
1515111840000,1848514,1848524,1848282,1848524,0.0053
1515111900000,1848504,1848524,1848281,1848300,0.3482
1515111960000,1848300,1853019,1848300,1852780,0.1683
1515112020000,1852776,1852776,1852776,1852776,0.0173
1515112080000,1852861,1856954,1848281,1853359,0.7748
1515112140000,1853360,1853360,1853360,1853360,0.0010
1515112200000,1853795,1853800,1853359,1853359,0.0250
1515112260000,1858319,1879998,1858319,1879998,2.0250
1515112320000,1859473,1879986,1859472,1879986,0.1436
1515112380000,1874645,1874764,1858324,1858479,0.4460
1515112440000,1858336,1858348,1858324,1858324,0.3571
1515112500000,1858324,1862639,1858324,1858503,0.1586
1515112560000,1858503,1862395,1858324,1862385,0.2814
1515112620000,1867039,1872500,1862542,1872500,0.3846
1515112680000,1865060,1875228,1865000,1875228,0.2825
1515112740000,1865669,1879999,1858324,1865000,1.6197
1515112800000,1865463,1878406,1858679,1859974,0.4896
1515112860000,1859960,1859961,1858324,1858324,0.0693
1515112920000,1858394,1858394,1850000,1850000,0.1866
1515112980000,1850000,1850000,1850000,1850000,0.0000
1515113040000,1856309,1856309,1856223,1856223,0.0589
1515113100000,1856223,1860000,1851148,1860000,0.2184
1515113160000,1860000,1860000,1856377,1860000,0.4340
1515113220000,1859979,1859979,1859979,1859979,0.0046
1515113280000,1859999,1859999,1859989,1859989,0.0245
1515113340000,1860000,1860000,1856212,1856232,0.1073
1515113400000,1856183,1856183,1856183,1856183,0.0335
1515113460000,1856080,1856080,1856070,1856070,0.0277
1515113520000,1856159,1856159,1856159,1856159,0.0230
1515113580000,1856159,1856159,1856159,1856159,0.0000
1515113640000,1856069,1859569,1856069,1859569,0.0878
1515113700000,1859559,1859559,1859544,1859549,0.0252
1515113760000,1855028,1855028,1855028,1855028,0.5569
1515113820000,1855022,1855038,1848901,1855027,1.7744
1515113880000,1855038,1855044,1855028,1855028,0.0071
1515113940000,1855028,1855028,1855028,1855028,0.0000
1515114000000,1858899,1858899,1858899,1858899,0.0008
1515114060000,1855058,1859964,1855044,1859958,0.3258
1515114120000,1859878,1859974,1855038,1855038,0.5526
1515114180000,1855028,1855028,1855028,1855028,0.2500
1515114240000,1855028,1855028,1855028,1855028,0.4178
1515114300000,1855028,1855028,1855028,1855028,0.2501
1515114360000,1855028,1855240,1850000,1850000,0.3144
1515114420000,1850000,1850000,1850000,1850000,0.1001
