Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543536000000,482695,484500,482695,484119,9.4613,483597,1,0,0
1543536060000,484045,484108,483186,483357,2.035,483647,-1,0,0
1543536120000,483358,484634,483324,483993,5.2328,483979,0,-1,0
1543536180000,483976,483976,482382,482834,3.9086,483179,-1,-1,0
1543536240000,482383,483300,482383,482384,1.7302,482841,0,-1,0
1543536300000,482395,482608,482141,482141,1.7876,482374,-1,-1,0
1543536360000,482141,482141,482001,482015,0.426,482071,-1,-2,0
1543536420000,482016,482237,482016,482085,0.6102,482126,0,-1,0
1543536480000,482085,482100,482000,482000,2.5846,482050,-1,-1,0
1543536540000,482000,482000,481435,481435,1.555,481717,-1,-2,0
1543536600000,481435,481435,479814,479814,4.1095,480624,-1,-2,0
1543536660000,479814,480025,479600,479772,1.3633,479812,-1,-2,0
1543536720000,479609,479954,478000,478000,3.1477,478977,-1,-2,0
1543536780000,478218,478620,477625,477898,2.5414,478122,-1,-2,0
1543536840000,477988,477999,477626,477876,0.8957,477812,-1,-2,0
1543536900000,477998,478968,477876,478742,3.2763,478422,0,-1,0
1543536960000,478742,479509,478550,478835,5.6333,479029,0,0,0
1543537020000,478768,478833,478041,478377,1.7844,478437,-1,-1,0
1543537080000,478609,478992,478215,478831,1.6854,478603,0,-1,0
1543537140000,478831,478831,477995,477995,5.5058,478413,-1,-1,0
1543537200000,477841,478200,477777,477777,1.0712,477988,-1,-2,0
1543537260000,477777,477782,476700,477000,3.9091,477241,-1,-2,0
1543537320000,476705,477460,476466,476882,9.592,476963,0,-1,0
1543537380000,477105,478343,477000,478160,4.8851,477671,1,1,0
1543537440000,478006,478495,477585,478072,1.8635,478040,0,1,0
1543537500000,478115,478216,477340,477757,2.773,477778,-1,-1,0
1543537560000,477511,477761,477000,477257,1.4546,477380,-1,-2,0
1543537620000,477000,477507,476467,476701,1.8787,476987,-1,-2,0
1543537680000,476783,476960,474393,476011,9.5113,475676,-1,-2,0
1543537740000,476020,477506,476020,477305,2.2857,476763,1,0,0
1543537800000,477458,477600,476920,477176,2.8799,477260,-1,0,0
1543537860000,476937,476938,476738,476758,0.1821,476838,-1,-2,0
1543537920000,476754,477328,476170,476833,0.7696,476749,0,-1,0
1543537980000,476815,476843,476281,476320,1.1037,476562,-1,-1,0
1543538040000,476522,476900,476276,476276,4.0406,476588,-1,-2,0
1543538100000,476158,476275,475202,475275,3.1173,475738,-1,-2,0
1543538160000,475274,476830,475230,476830,1.8976,476030,1,0,0
1543538220000,476498,477388,475823,475823,1.5306,476605,-1,0,0
1543538280000,476377,477056,475824,476207,1.0041,476440,-1,-2,0
1543538340000,476861,477753,476861,477753,0.3467,477307,0,-1,0
1543538400000,477225,478000,477221,478000,1.0186,477610,0,0,0
1543538460000,477800,478050,477800,478010,2.4644,477925,0,0,0
1543538520000,478010,478011,477500,477501,1.7978,477755,-1,-1,0
1543538580000,477506,477797,477316,477670,0.509,477556,0,-1,0
1543538640000,477731,478193,477731,478193,0.093,477962,0,0,0
1543538700000,477779,477786,477500,477500,0.146,477643,-1,-1,0
1543538760000,477749,478061,477749,478061,0.0286,477905,0,-1,0
1543538820000,478058,478200,477672,478152,0.4043,477936,0,0,0
1543538880000,478200,478381,478000,478001,0.5313,478190,-1,-1,0
1543538940000,478002,478285,478002,478285,0.886,478143,0,-1,0
1543539000000,478285,479291,478285,479102,2.8846,478788,0,0,0
1543539060000,479280,480833,479280,480034,1.6859,480056,0,0,0
1543539120000,480129,480170,479000,479345,5.2894,479585,-1,-1,0
1543539180000,479410,479904,479000,479000,2.8243,479452,-1,-2,0
1543539240000,479001,479001,478681,478691,3.6934,478841,-1,-2,0
1543539300000,478762,478762,478761,478761,0.0051,478761,-1,-2,0
1543539360000,478726,478726,478334,478400,1.693,478530,-1,-2,0
1543539420000,478400,478774,478400,478531,1.255,478587,0,-1,0
1543539480000,478483,478483,478275,478284,0.0591,478379,-1,-1,0
1543539540000,478195,478195,477072,477072,3.2258,477633,-1,-2,0
1543539600000,477078,477925,477006,477925,1.1362,477465,0,-1,0
1543539660000,477794,477794,477527,477527,0.0673,477660,-1,-1,0
1543539720000,477510,477923,477500,477681,1.0489,477711,0,-1,0
1543539780000,477900,478818,477900,478694,2.496,478359,0,0,0
1543539840000,478694,478807,477634,477957,10.7461,478220,-1,-1,0
1543539900000,477959,477965,476785,477172,2.0701,477375,-1,-2,0
1543539960000,477076,477399,476670,476901,2.941,477034,-1,-2,0
1543540020000,476900,476901,475972,475986,0.6429,476436,-1,-2,0
1543540080000,475981,476683,475693,476683,2.9505,476188,0,-1,0
1543540140000,476430,476889,476000,476879,2.1337,476444,0,0,0
1543540200000,476372,476900,476000,476168,0.5228,476450,-1,-1,0
1543540260000,476010,476140,475687,475687,2.2644,475913,-1,-2,0
1543540320000,475660,475754,475500,475744,0.8857,475627,0,-1,0
1543540380000,475718,476925,475668,476615,1.7976,476296,0,0,0
1543540440000,476615,476692,476424,476424,0.3481,476558,-1,-1,0
1543540500000,476277,476277,475698,475698,0.2476,475987,-1,-2,0
1543540560000,475696,475977,474477,474826,4.7559,475227,-1,-2,0
1543540620000,474816,476124,474393,475973,5.5904,475258,1,0,0
1543540680000,475895,476368,475890,476053,0.2922,476129,0,1,0
1543540740000,475986,476099,475331,475479,1.9612,475715,-1,-1,0
1543540800000,475474,476499,475474,475517,3.0174,475986,0,-1,0
1543540860000,475411,475535,475000,475234,1.4021,475267,-1,-1,0
1543540920000,475010,475010,474395,474453,2.1927,474702,-1,-2,0
1543540980000,474554,474554,473440,474194,4.6624,473997,-1,-2,0
1543541040000,474194,475274,474109,474926,3.9542,474691,0,-1,0
1543541100000,474925,475046,474715,475036,3.2274,474880,0,0,0
1543541160000,475202,475788,475158,475338,0.3239,475473,0,0,0
1543541220000,475359,476190,475359,475444,3.6603,475774,0,0,0
1543541280000,475434,476166,475172,475996,4.6343,475669,0,0,0
1543541340000,475996,476405,475546,476405,4.6003,475975,0,0,0
1543541400000,476406,476467,476245,476388,0.9032,476356,-1,-1,0
1543541460000,476300,477000,476178,476628,1.2413,476589,0,-1,0
1543541520000,476778,477553,476565,477553,2.3155,477059,0,0,0
1543541580000,477291,477740,476851,477055,2.9864,477295,-1,-1,0
1543541640000,477258,477651,476396,476600,2.1225,477023,-1,-2,0
1543541700000,476712,477379,476571,476571,2.0356,476975,-1,-2,0
1543541760000,476670,477093,476574,476682,2.3278,476833,0,-1,0
1543541820000,476728,478100,476728,478100,4.1124,477414,1,1,0
1543541880000,477687,478625,477483,478615,5.6092,478054,0,1,0
1543541940000,478620,478620,477814,478306,12.6811,478217,-1,-1,0
1543542000000,478324,478535,478321,478338,2.2061,478428,0,-1,0
1543542060000,478420,479000,478420,479000,4.2908,478710,0,0,0
1543542120000,479010,479518,479000,479000,11.5907,479259,-1,-1,0
1543542180000,479000,479015,479000,479000,16.6078,479007,0,-1,0
