,FinalPL,range,hist,prob,ave_tot,sigma,,,t-stat
2018/1/25,-2118,-50000,0,0,1123.459701,8008.608076,330.1107692,0,0.010675999
2018/1/26,4172,-49000,0,0,,,0,0,
2018/1/27,-36547,-48000,0,0,122,,,0,
2018/1/28,-3793,-47000,0,0,124,,,0,
2018/1/29,-1539,-46000,0,0,89,,,0,
2018/1/30,17613,-45000,0,0,,,,0,
2018/1/31,-1279,-44000,0,0,,,,0,
2018/2/1,-4454,-43000,0,0,,,,0,
2018/2/2,5577,-42000,0,0,,,,0,
2018/2/3,29649,-41000,0,0,,,,0,
2018/2/4,11787,-40000,0,0,,,,0,
2018/2/5,29107,-39000,0,0,,,,0,
2018/2/6,82861,-38000,0,0,,,,0,
2018/2/7,25111,-37000,0,0,,,,0,
2018/2/8,-6084,-36000,1,0.002985075,,,,0,
2018/2/9,18155,-35000,0,0,,,,0,
2018/2/10,22462,-34000,0,0,,,,0,
2018/2/11,-13079,-33000,0,0,,,,0,
2018/2/12,7533,-32000,0,0,,,,0,
2018/2/13,-5048,-31000,0,0,,,,0,
2018/2/14,1000,-30000,0,0,,,,0,
2018/2/15,9255,-29000,0,0,,,,0,
2018/2/16,3527,-28000,0,0,,,,0,
2018/2/17,5657,-27000,0,0,,,,0,
2018/2/18,-1591,-26000,0,0,,,,0,
2018/2/19,-9344,-25000,0,0,,,,0,
2018/2/20,-10913,-24000,0,0,,,,0,
2018/2/21,-19127,-23000,0,0,,,,0,
2018/2/22,-11141,-22000,0,0,,,,0,
2018/2/23,-1431,-21000,0,0,,,,0,
2018/2/24,11959,-20000,0,0,,,,0,
2018/2/25,13218,-19000,1,0.002985075,,,,0,
2018/2/26,-2737,-18000,2,0.005970149,,,,0,
2018/2/27,-428,-17000,0,0,,,,0,
2018/2/28,6973,-16000,0,0,,,,0,
2018/3/1,-3809,-15000,0,0,,,,0,
2018/3/2,-3408,-14000,0,0,,,,0,
2018/3/3,-3119,-13000,1,0.002985075,,,,0,
2018/3/4,-834,-12000,0,0,,,,0,
2018/3/5,4484,-11000,1,0.002985075,,,,0,
2018/3/6,-18367,-10000,2,0.005970149,,,,0,
2018/3/7,12471,-9000,2,0.005970149,,,,0,
2018/3/8,13914,-8000,1,0.002985075,,,,0,
2018/3/9,16969,-7000,3,0.008955224,,,,0,
2018/3/10,9307,-6000,5,0.014925373,,,,0,
2018/3/11,21933,-5000,4,0.011940299,,,,0,
2018/3/12,-6870,-4000,6,0.017910448,,,,0,
2018/3/13,-1565,-3000,17,0.050746269,,,,0,
2018/3/14,-1350,-2000,15,0.044776119,,,,0,
2018/3/15,10560,-1000,33,0.098507463,,,,0,
2018/3/16,-6673,0,119,0.355223881,,,,0,
2018/3/17,-4536,1000,31,0.092537313,,,,0,
2018/3/18,-8327,2000,10,0.029850746,,,,0,
2018/3/19,-18781,3000,14,0.041791045,,,,0,
2018/3/20,-5959,4000,12,0.035820896,,,,0,
2018/3/21,1319,5000,7,0.020895522,,,,0,
2018/3/22,-7918,6000,7,0.020895522,,,,0,
2018/3/23,10159,7000,8,0.023880597,,,,0,
2018/3/24,-806,8000,3,0.008955224,,,,0,
2018/3/25,-7665,9000,3,0.008955224,,,,0,
2018/3/26,-1401,10000,5,0.014925373,,,,0,
2018/3/27,6563,11000,2,0.005970149,,,,0,
2018/3/28,-6162,12000,2,0.005970149,,,,0,
2018/3/29,1097,13000,3,0.008955224,,,,0,
2018/3/30,20715,14000,2,0.005970149,,,,0,
2018/3/31,5303,15000,1,0.002985075,,,,0,
2018/4/1,9828,16000,0,0,,,,0,
2018/4/2,-4258,17000,1,0.002985075,,,,0,
2018/4/3,-5401,18000,1,0.002985075,,,,0,
2018/4/4,-844,19000,1,0.002985075,,,,0,
2018/4/5,-1477,20000,0,0,,,,0,
2018/4/6,2863,21000,1,0.002985075,,,,0,
2018/4/7,7816,22000,1,0.002985075,,,,0,
2018/4/8,70,23000,1,0.002985075,,,,0,
2018/4/9,-929,24000,0,0,,,,0,
2018/4/10,2927,25000,0,0,,,,0,
2018/4/11,-882,26000,1,0.002985075,,,,0,
2018/4/12,35179,27000,0,0,,,,0,
2018/4/13,-9856,28000,0,0,,,,0,
2018/4/14,6048,29000,0,0,,,,0,
