Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,Higeindex,PL
1521417600000,870111,876000,870011,876000,2.9225,873005,1,0,1,0
1521417660000,875999,886500,875999,883678,7.7914,881249,1,0,0,0
1521417720000,886231,892117,885412,892117,5.554,888764,1,2,1,0
1521417780000,892288,899995,892040,892040,8.3811,896017,-1,0,0,0
1521417840000,892041,896999,885489,891247,4.422,891244,-1,-2,0,0
1521417900000,891990,893000,891789,892060,3.0138,892394,0,-1,0,0
1521417960000,892130,893034,890029,890029,4.4482,891531,-1,-1,0,0
1521418020000,890038,892000,887040,891890,7.028,889520,1,0,1,0
1521418080000,892000,894999,890000,891500,5.72,892499,-1,0,0,0
1521418140000,891529,894984,891451,894900,1.552,893217,1,0,1,0
1521418200000,893995,894222,891491,892995,2.8493,892856,-1,0,0,0
1521418260000,893005,893005,891491,891491,2.3268,892248,-1,-2,0,0
1521418320000,892268,893005,892268,893005,0.2093,892636,0,-1,1,0
1521418380000,893005,897573,893005,897573,1.8864,895289,1,1,1,0
1521418440000,896501,898000,896348,897000,3.6103,897174,0,1,0,0
1521418500000,898000,899997,896955,896955,5.4807,898476,-1,-1,0,0
1521418560000,896955,899999,896348,899999,3.4555,898173,1,0,1,0
1521418620000,899853,899953,897000,897010,1.6318,898476,-1,0,0,0
1521418680000,897010,897781,895010,896169,2.8881,896395,-1,-2,0,0
1521418740000,896068,896947,893004,893004,3.0155,894975,-1,-2,0,0
1521418800000,893010,896000,892313,895000,2.3616,894156,1,0,0,0
1521418860000,894995,895000,894000,894120,1.339,894500,-1,0,0,0
1521418920000,894140,896192,894031,894661,0.7606,895111,0,-1,0,0
1521418980000,894646,896192,894116,895001,1.0184,895154,0,0,0,0
1521419040000,896182,896192,894545,894545,0.9196,895368,-1,-1,0,0
1521419100000,894545,896192,890052,891376,2.8557,893122,-1,-2,0,0
1521419160000,891376,896191,891376,893558,2.1594,893783,1,0,0,0
1521419220000,894000,896168,890301,891860,1.3881,893234,-1,0,0,0
1521419280000,891855,896192,891855,894000,2.3952,894023,1,0,0,0
1521419340000,894005,895658,892204,893000,2.8099,893931,-1,0,0,0
1521419400000,893000,893997,891681,893997,8.6072,892839,0,-1,1,0
1521419460000,893034,895720,891491,893148,4.6827,893605,0,0,0,0
1521419520000,892013,893097,891455,893036,1.6255,892276,1,1,1,0
