,FinalPL
2018-10-25,0
2018-10-26,0
2018-10-27,0
2018-10-28,0
2018-10-29,-1966
2018-10-30,0
2018-10-31,31
2018-11-01,0
2018-11-02,0
2018-11-03,0
2018-11-04,0
2018-11-05,0
2018-11-06,0
2018-11-07,0
2018-11-08,0
2018-11-09,0
2018-11-10,0
2018-11-11,0
2018-11-12,0
2018-11-13,0
2018-11-14,1803
2018-11-15,-1201
2018-11-16,786
2018-11-17,0
2018-11-18,0
2018-11-19,1814
2018-11-20,16922
2018-11-21,3405
2018-11-22,-1405
2018-11-23,1062
2018-11-24,-1297
2018-11-25,-1167
2018-11-26,728
2018-11-27,-4905
2018-11-28,-345
2018-11-29,-485
2018-11-30,-1407
2018-12-01,33
2018-12-02,-8
2018-12-03,-33
2018-12-04,0
2018-12-05,0
2018-12-06,-1999
2018-12-07,-4724
2018-12-08,0
2018-12-09,-1403
2018-12-10,-1652
2018-12-11,81
2018-12-12,89
2018-12-13,0
2018-12-14,0
2018-12-15,0
2018-12-16,0
2018-12-17,1309
2018-12-18,0
2018-12-19,0
2018-12-20,2335
2018-12-21,2040
2018-12-22,3565
2018-12-23,200
2018-12-24,-1882
2018-12-25,-1714
