,0,1
0,2019-12-25 21:40:14.778291,"{'bids': [[7213.0, 877009.0], [7212.5, 7982.0], [7212.0, 111131.0], [7211.5, 76988.0], [7211.0, 26313.0], [7210.5, 1682.0], [7210.0, 79877.0], [7209.5, 10417.0], [7209.0, 318874.0], [7208.5, 37163.0], [7208.0, 135842.0], [7207.5, 133889.0], [7207.0, 161601.0], [7206.5, 140900.0], [7206.0, 289926.0], [7205.5, 209886.0], [7205.0, 202522.0], [7204.5, 181235.0], [7204.0, 121086.0], [7203.5, 344715.0], [7203.0, 127990.0], [7202.5, 205958.0], [7202.0, 507048.0], [7201.5, 250976.0], [7201.0, 264347.0]], 'asks': [[7213.5, 1703151.0], [7214.0, 262328.0], [7214.5, 57477.0], [7215.0, 577880.0], [7215.5, 155930.0], [7216.0, 249859.0], [7216.5, 236858.0], [7217.0, 160602.0], [7217.5, 90613.0], [7218.0, 203452.0], [7218.5, 197577.0], [7219.0, 170098.0], [7219.5, 101492.0], [7220.0, 130828.0], [7220.5, 151643.0], [7221.0, 391744.0], [7221.5, 62636.0], [7222.0, 64904.0], [7222.5, 72244.0], [7223.0, 136706.0], [7223.5, 89944.0], [7224.0, 37471.0], [7224.5, 108839.0], [7225.0, 124736.0], [7225.5, 84842.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
1,2019-12-25 21:41:15.102562,"{'bids': [[7213.0, 1129054.0], [7212.5, 33100.0], [7212.0, 50966.0], [7211.5, 77520.0], [7211.0, 21136.0], [7210.5, 790.0], [7210.0, 120956.0], [7209.5, 16941.0], [7209.0, 312371.0], [7208.5, 24549.0], [7208.0, 139772.0], [7207.5, 134915.0], [7207.0, 143501.0], [7206.5, 371937.0], [7206.0, 155980.0], [7205.5, 207786.0], [7205.0, 214510.0], [7204.5, 255996.0], [7204.0, 93114.0], [7203.5, 247007.0], [7203.0, 171300.0], [7202.5, 204670.0], [7202.0, 472895.0], [7201.5, 240362.0], [7201.0, 300054.0]], 'asks': [[7213.5, 1559081.0], [7214.0, 184909.0], [7214.5, 97128.0], [7215.0, 312899.0], [7215.5, 64864.0], [7216.0, 430826.0], [7216.5, 186715.0], [7217.0, 131340.0], [7217.5, 130727.0], [7218.0, 312488.0], [7218.5, 136135.0], [7219.0, 76080.0], [7219.5, 210954.0], [7220.0, 372059.0], [7220.5, 87561.0], [7221.0, 435179.0], [7221.5, 62830.0], [7222.0, 74334.0], [7222.5, 146946.0], [7223.0, 135480.0], [7223.5, 53804.0], [7224.0, 153135.0], [7224.5, 56078.0], [7225.0, 15306.0], [7225.5, 125587.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
2,2019-12-25 21:42:15.414531,"{'bids': [[7212.0, 101999.0], [7211.5, 69648.0], [7211.0, 16571.0], [7210.5, 25609.0], [7210.0, 171587.0], [7209.5, 14206.0], [7209.0, 223476.0], [7208.5, 75842.0], [7208.0, 75267.0], [7207.5, 154862.0], [7207.0, 120864.0], [7206.5, 189843.0], [7206.0, 156498.0], [7205.5, 367646.0], [7205.0, 157117.0], [7204.5, 239569.0], [7204.0, 156827.0], [7203.5, 227543.0], [7203.0, 254642.0], [7202.5, 154904.0], [7202.0, 146959.0], [7201.5, 282367.0], [7201.0, 330668.0], [7200.5, 215401.0], [7200.0, 502794.0]], 'asks': [[7212.5, 2055545.0], [7213.0, 1062136.0], [7213.5, 568169.0], [7214.0, 202550.0], [7214.5, 297266.0], [7215.0, 227736.0], [7215.5, 56293.0], [7216.0, 383198.0], [7216.5, 170298.0], [7217.0, 118759.0], [7217.5, 92915.0], [7218.0, 40296.0], [7218.5, 182753.0], [7219.0, 82813.0], [7219.5, 131290.0], [7220.0, 376230.0], [7220.5, 128517.0], [7221.0, 422340.0], [7221.5, 63615.0], [7222.0, 163166.0], [7222.5, 40662.0], [7223.0, 264193.0], [7223.5, 63354.0], [7224.0, 43281.0], [7224.5, 34012.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
3,2019-12-25 21:43:15.712395,"{'bids': [[7205.5, 1207211.0], [7205.0, 298140.0], [7204.5, 146930.0], [7204.0, 310031.0], [7203.5, 119048.0], [7203.0, 57491.0], [7202.5, 122242.0], [7202.0, 256083.0], [7201.5, 107546.0], [7201.0, 243907.0], [7200.5, 247865.0], [7200.0, 601517.0], [7199.5, 138925.0], [7199.0, 295586.0], [7198.5, 157238.0], [7198.0, 115275.0], [7197.5, 246456.0], [7197.0, 155334.0], [7196.5, 312474.0], [7196.0, 172819.0], [7195.5, 109759.0], [7195.0, 204707.0], [7194.5, 74488.0], [7194.0, 39014.0], [7193.5, 51913.0]], 'asks': [[7206.0, 213734.0], [7206.5, 868.0], [7207.0, 955.0], [7207.5, 66.0], [7208.0, 3285.0], [7208.5, 32597.0], [7209.0, 57739.0], [7209.5, 859.0], [7210.0, 19682.0], [7210.5, 116094.0], [7211.0, 56552.0], [7211.5, 86667.0], [7212.0, 166590.0], [7212.5, 132240.0], [7213.0, 613104.0], [7213.5, 365211.0], [7214.0, 56672.0], [7214.5, 81398.0], [7215.0, 220647.0], [7215.5, 192594.0], [7216.0, 308545.0], [7216.5, 239854.0], [7217.0, 48393.0], [7217.5, 119583.0], [7218.0, 27674.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
4,2019-12-25 21:44:16.013772,"{'bids': [[7207.5, 768301.0], [7207.0, 33275.0], [7206.5, 7879.0], [7206.0, 6906.0], [7205.5, 89043.0], [7205.0, 194805.0], [7204.5, 228956.0], [7204.0, 440629.0], [7203.5, 218750.0], [7203.0, 291132.0], [7202.5, 132507.0], [7202.0, 215289.0], [7201.5, 95071.0], [7201.0, 324458.0], [7200.5, 107849.0], [7200.0, 510239.0], [7199.5, 26098.0], [7199.0, 203148.0], [7198.5, 95675.0], [7198.0, 101205.0], [7197.5, 169310.0], [7197.0, 224779.0], [7196.5, 301205.0], [7196.0, 243840.0], [7195.5, 118505.0]], 'asks': [[7208.0, 537886.0], [7208.5, 74430.0], [7209.0, 106213.0], [7209.5, 37423.0], [7210.0, 95394.0], [7210.5, 116971.0], [7211.0, 143273.0], [7211.5, 88253.0], [7212.0, 193194.0], [7212.5, 90718.0], [7213.0, 467643.0], [7213.5, 226250.0], [7214.0, 113451.0], [7214.5, 140961.0], [7215.0, 111879.0], [7215.5, 98388.0], [7216.0, 309527.0], [7216.5, 231600.0], [7217.0, 112787.0], [7217.5, 27826.0], [7218.0, 121858.0], [7218.5, 145164.0], [7219.0, 60279.0], [7219.5, 132372.0], [7220.0, 422813.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
5,2019-12-25 21:45:16.365191,"{'bids': [[7207.5, 186830.0], [7207.0, 47478.0], [7206.5, 31281.0], [7206.0, 29635.0], [7205.5, 54295.0], [7205.0, 221140.0], [7204.5, 131131.0], [7204.0, 98733.0], [7203.5, 155691.0], [7203.0, 289700.0], [7202.5, 433848.0], [7202.0, 188372.0], [7201.5, 182269.0], [7201.0, 246043.0], [7200.5, 221765.0], [7200.0, 533399.0], [7199.5, 141194.0], [7199.0, 230918.0], [7198.5, 115254.0], [7198.0, 80000.0], [7197.5, 171946.0], [7197.0, 163234.0], [7196.5, 243740.0], [7196.0, 187409.0], [7195.5, 117005.0]], 'asks': [[7208.0, 1176177.0], [7208.5, 76437.0], [7209.0, 88807.0], [7209.5, 68235.0], [7210.0, 261551.0], [7210.5, 246666.0], [7211.0, 158116.0], [7211.5, 173029.0], [7212.0, 352549.0], [7212.5, 83894.0], [7213.0, 188939.0], [7213.5, 134976.0], [7214.0, 419411.0], [7214.5, 12009.0], [7215.0, 182071.0], [7215.5, 109214.0], [7216.0, 284864.0], [7216.5, 74422.0], [7217.0, 143679.0], [7217.5, 103055.0], [7218.0, 28535.0], [7218.5, 190237.0], [7219.0, 26633.0], [7219.5, 79412.0], [7220.0, 330568.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
6,2019-12-25 21:46:16.679148,"{'bids': [[7207.5, 610890.0], [7207.0, 19889.0], [7206.5, 31181.0], [7206.0, 19833.0], [7205.5, 64765.0], [7205.0, 232270.0], [7204.5, 116666.0], [7204.0, 81254.0], [7203.5, 151291.0], [7203.0, 159789.0], [7202.5, 491139.0], [7202.0, 222340.0], [7201.5, 207977.0], [7201.0, 262624.0], [7200.5, 182423.0], [7200.0, 459718.0], [7199.5, 144487.0], [7199.0, 219606.0], [7198.5, 247281.0], [7198.0, 49121.0], [7197.5, 170096.0], [7197.0, 131297.0], [7196.5, 241520.0], [7196.0, 212229.0], [7195.5, 141355.0]], 'asks': [[7208.0, 795588.0], [7208.5, 142658.0], [7209.0, 216967.0], [7209.5, 91445.0], [7210.0, 294247.0], [7210.5, 116768.0], [7211.0, 255227.0], [7211.5, 286821.0], [7212.0, 188536.0], [7212.5, 110104.0], [7213.0, 238626.0], [7213.5, 210405.0], [7214.0, 453136.0], [7214.5, 108924.0], [7215.0, 191618.0], [7215.5, 157957.0], [7216.0, 168959.0], [7216.5, 77579.0], [7217.0, 121992.0], [7217.5, 24111.0], [7218.0, 133940.0], [7218.5, 162573.0], [7219.0, 37356.0], [7219.5, 233714.0], [7220.0, 164797.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
7,2019-12-25 21:47:17.015938,"{'bids': [[7208.0, 995833.0], [7207.5, 141256.0], [7207.0, 80948.0], [7206.5, 68532.0], [7206.0, 60269.0], [7205.5, 192000.0], [7205.0, 384224.0], [7204.5, 211264.0], [7204.0, 434689.0], [7203.5, 109677.0], [7203.0, 164026.0], [7202.5, 309702.0], [7202.0, 179059.0], [7201.5, 161189.0], [7201.0, 107431.0], [7200.5, 139624.0], [7200.0, 473553.0], [7199.5, 60055.0], [7199.0, 177441.0], [7198.5, 89107.0], [7198.0, 155333.0], [7197.5, 130094.0], [7197.0, 159978.0], [7196.5, 216955.0], [7196.0, 156915.0]], 'asks': [[7208.5, 42099.0], [7209.0, 36362.0], [7209.5, 1011.0], [7210.0, 13562.0], [7210.5, 16857.0], [7211.0, 139919.0], [7211.5, 63137.0], [7212.0, 76146.0], [7212.5, 118270.0], [7213.0, 225510.0], [7213.5, 141689.0], [7214.0, 740601.0], [7214.5, 68793.0], [7215.0, 98173.0], [7215.5, 227956.0], [7216.0, 233870.0], [7216.5, 258073.0], [7217.0, 30536.0], [7217.5, 74059.0], [7218.0, 169482.0], [7218.5, 238243.0], [7219.0, 15059.0], [7219.5, 127795.0], [7220.0, 276869.0], [7220.5, 159742.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
8,2019-12-25 21:48:17.303922,"{'bids': [[7215.5, 905299.0], [7215.0, 6198.0], [7214.5, 28500.0], [7214.0, 6944.0], [7213.5, 44307.0], [7213.0, 79623.0], [7212.5, 16200.0], [7212.0, 91104.0], [7211.5, 13038.0], [7211.0, 285213.0], [7210.5, 315358.0], [7210.0, 209220.0], [7209.5, 88742.0], [7209.0, 176553.0], [7208.5, 120193.0], [7208.0, 163278.0], [7207.5, 275056.0], [7207.0, 43363.0], [7206.5, 75720.0], [7206.0, 117688.0], [7205.5, 98081.0], [7205.0, 245632.0], [7204.5, 127279.0], [7204.0, 137667.0], [7203.5, 258574.0]], 'asks': [[7216.0, 122384.0], [7216.5, 93041.0], [7217.0, 25802.0], [7217.5, 82616.0], [7218.0, 191244.0], [7218.5, 188885.0], [7219.0, 65973.0], [7219.5, 229824.0], [7220.0, 190889.0], [7220.5, 153380.0], [7221.0, 351918.0], [7221.5, 169986.0], [7222.0, 143547.0], [7222.5, 269625.0], [7223.0, 210011.0], [7223.5, 123831.0], [7224.0, 38434.0], [7224.5, 115567.0], [7225.0, 55040.0], [7225.5, 165709.0], [7226.0, 38213.0], [7226.5, 49882.0], [7227.0, 61921.0], [7227.5, 159195.0], [7228.0, 92170.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
9,2019-12-25 21:49:17.612617,"{'bids': [[7216.0, 455394.0], [7215.5, 112062.0], [7215.0, 44612.0], [7214.5, 4376.0], [7214.0, 14321.0], [7213.5, 16796.0], [7213.0, 62133.0], [7212.5, 70806.0], [7212.0, 30196.0], [7211.5, 351475.0], [7211.0, 31364.0], [7210.5, 108627.0], [7210.0, 146024.0], [7209.5, 170383.0], [7209.0, 210894.0], [7208.5, 112423.0], [7208.0, 252784.0], [7207.5, 106202.0], [7207.0, 134717.0], [7206.5, 67254.0], [7206.0, 61503.0], [7205.5, 91043.0], [7205.0, 298125.0], [7204.5, 132841.0], [7204.0, 186132.0]], 'asks': [[7216.5, 654532.0], [7217.0, 19703.0], [7217.5, 67296.0], [7218.0, 148757.0], [7218.5, 111805.0], [7219.0, 78308.0], [7219.5, 148092.0], [7220.0, 410330.0], [7220.5, 423000.0], [7221.0, 159809.0], [7221.5, 203572.0], [7222.0, 228039.0], [7222.5, 212884.0], [7223.0, 175383.0], [7223.5, 108396.0], [7224.0, 177390.0], [7224.5, 109425.0], [7225.0, 233262.0], [7225.5, 113893.0], [7226.0, 16073.0], [7226.5, 48925.0], [7227.0, 54862.0], [7227.5, 75040.0], [7228.0, 34891.0], [7228.5, 90700.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
