Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1545091200000,394720,394999,394666,394859,7.873,394832,0,0,0
1545091260000,394730,394969,394710,394737,1.7064,394839,0,0,0
1545091320000,394736,394968,394727,394727,1.7097,394847,-1,-1,0
1545091380000,394741,395000,394731,395000,0.5833,394865,0,-1,0
1545091440000,394969,395200,394969,395200,0.3766,395084,0,0,0
1545091500000,395224,396261,395224,396019,1.5731,395742,0,0,0
1545091560000,396030,396110,396001,396001,1.1532,396055,-1,-1,0
1545091620000,396003,396648,396001,396261,1.1136,396324,0,-1,0
1545091680000,396251,396589,396251,396327,0.6903,396420,0,0,0
1545091740000,396400,396614,396011,396011,2.891,396312,-1,-1,0
1545091800000,396188,396447,396073,396447,0.9136,396260,0,-1,0
1545091860000,396447,396486,396210,396219,3.8368,396348,-1,-1,0
1545091920000,396219,396614,396074,396200,1.9833,396344,-1,-2,0
1545091980000,396200,396926,396190,396644,1.0277,396558,0,-1,0
1545092040000,396644,397899,396643,396912,2.7825,397271,0,0,0
1545092100000,396922,397700,396098,396350,19.549,396899,-1,-1,0
1545092160000,396360,397599,396004,397027,3.2556,396801,0,-1,0
1545092220000,397027,397366,396880,397355,1.0625,397123,0,0,0
1545092280000,397099,397731,397001,397271,1.4306,397366,0,0,0
1545092340000,397270,397717,397193,397529,3.2232,397455,0,0,0
1545092400000,397510,397675,397490,397664,3.3754,397582,0,0,0
1545092460000,397664,398277,397274,397857,2.1597,397775,0,0,0
1545092520000,397988,398130,397854,397959,6.4702,397992,-1,-1,0
1545092580000,397959,398062,397846,397846,7.9196,397954,-1,-2,0
1545092640000,397783,397885,397602,397884,1.7192,397743,0,-1,0
1545092700000,397884,398048,397874,398048,1.4295,397961,0,0,0
1545092760000,397891,398048,397500,397804,3.6613,397774,-1,-1,0
1545092820000,397804,398000,397612,397733,1.3667,397806,-1,-2,0
1545092880000,397734,398000,397734,398000,3.5439,397867,0,-1,0
1545092940000,397863,397863,397350,397605,9.4776,397606,-1,-1,0
1545093000000,397450,397999,396963,397808,6.0354,397481,0,-1,0
1545093060000,397739,397976,397228,397730,9.9501,397602,-1,-1,0
1545093120000,397740,397740,396957,397137,3.1848,397348,-1,-2,0
1545093180000,397138,397209,396004,396163,8.2682,396606,-1,-2,0
1545093240000,396163,396163,394669,395773,8.8216,395416,-1,-2,0
1545093300000,395738,395972,394965,395361,10.908,395468,-1,-2,0
1545093360000,395406,395703,395076,395279,7.7068,395389,-1,-2,0
1545093420000,395582,395832,395500,395831,3.6243,395666,0,-1,0
1545093480000,395832,395832,395800,395800,2.2158,395816,-1,-1,0
1545093540000,395797,395797,395083,395083,1.457,395440,-1,-2,0
1545093600000,395083,395671,394975,395668,4.6278,395323,0,-1,0
1545093660000,395660,395833,395660,395833,1.3125,395746,0,0,0
1545093720000,395721,395833,395717,395717,1.0398,395775,-1,-1,0
1545093780000,395670,395670,395335,395340,0.4713,395502,-1,-2,0
1545093840000,395252,395262,395018,395089,1.2526,395140,-1,-2,0
1545093900000,395089,395316,394976,395316,29.4103,395146,0,-1,0
1545093960000,395316,395770,395299,395737,3.6564,395534,0,0,0
1545094020000,395737,395833,394975,395000,19.418,395404,-1,-1,0
1545094080000,395000,395460,394987,395215,4.3775,395223,0,-1,0
1545094140000,395215,395215,394900,395000,3.7032,395057,-1,-1,0
1545094200000,395000,395000,394843,394900,3.9401,394921,-1,-2,0
1545094260000,394899,394900,394438,394501,1.311,394669,-1,-2,0
1545094320000,394491,394500,394163,394468,3.2677,394331,-1,-2,0
1545094380000,394304,395700,393901,394620,19.5687,394800,0,-1,0
1545094440000,394618,394623,394040,394040,4.712,394331,-1,-1,0
1545094500000,394040,394394,393560,393895,4.9147,393977,-1,-2,0
1545094560000,393885,394099,393800,393894,2.6817,393949,0,-1,0
1545094620000,393894,393894,393400,393458,2.9811,393647,-1,-1,0
1545094680000,393430,393500,393316,393500,9.6017,393408,0,-1,0
1545094740000,393424,393500,392990,393500,11.3775,393245,0,0,0
1545094800000,393499,393499,393048,393083,4.1906,393273,-1,-1,0
1545094860000,393183,394217,393000,394217,9.4451,393608,1,0,0
1545094920000,393924,394361,393760,394360,1.6957,394060,0,1,0
1545094980000,393936,394219,393639,393845,1.2093,393929,-1,-1,0
1545095040000,393844,393850,393550,393840,2.3551,393700,-1,-2,0
1545095100000,393850,394310,393750,393750,1.126,394030,-1,-2,0
1545095160000,393840,394497,393735,393800,0.6161,394116,-1,-2,0
1545095220000,393803,393973,393461,393633,1.2474,393717,-1,-2,0
1545095280000,393536,393821,393460,393821,0.8647,393640,0,-1,0
1545095340000,393832,393876,393460,393876,1.0967,393668,0,0,0
1545095400000,393876,394000,393460,394000,4.9719,393730,0,0,0
1545095460000,394000,394232,393942,393945,1.6692,394087,-1,-1,0
1545095520000,393946,393955,393600,393931,1.8677,393777,-1,-2,0
1545095580000,393830,393932,393600,393754,0.891,393766,-1,-2,0
1545095640000,393754,393754,393754,393754,0.0016,393754,0,-1,0
1545095700000,393754,393754,393601,393611,0.4507,393677,-1,-1,0
1545095760000,393773,393788,393600,393600,0.9607,393694,-1,-2,0
1545095820000,393720,393720,392706,392829,5.2264,393213,-1,-2,0
1545095880000,392696,392801,392500,392521,3.4309,392650,-1,-2,0
1545095940000,392521,393005,392521,392691,4.028,392763,0,-1,0
1545096000000,392691,393039,392500,393039,2.8851,392769,0,0,0
1545096060000,392902,392951,391974,392000,7.9621,392462,-1,-1,0
1545096120000,392000,392000,391642,391938,10.6785,391821,-1,-2,0
1545096180000,391941,392235,391884,392080,16.1505,392059,0,-1,0
1545096240000,392080,392746,392080,392679,2.2974,392413,0,0,0
1545096300000,392678,393052,391736,392571,2.3603,392394,-1,-1,0
1545096360000,392571,392880,391899,392558,3.8771,392389,-1,-2,0
1545096420000,392519,392826,392435,392826,0.5697,392630,0,-1,0
1545096480000,392826,393121,392673,393121,0.4564,392897,0,0,0
1545096540000,393075,393113,392604,393112,6.576,392858,0,0,0
1545096600000,393103,393122,392815,393083,0.6122,392968,-1,-1,0
1545096660000,393038,393446,392819,393398,3.788,393132,0,-1,0
1545096720000,393310,393601,393309,393568,1.9501,393455,0,0,0
1545096780000,393584,393725,393284,393404,2.6806,393504,-1,-1,0
1545096840000,393399,393579,393399,393570,0.5118,393489,0,-1,0
1545096900000,393501,393597,393254,393597,1.3249,393425,0,0,0
1545096960000,393596,393640,393122,393489,0.7526,393381,-1,-1,0
1545097020000,393488,394115,393031,393311,2.196,393573,-1,-2,0
1545097080000,393311,393410,393000,393000,3.8336,393205,-1,-2,0
1545097140000,393014,393024,392861,392986,1.9312,392942,-1,-2,0
1545097200000,392946,392985,392795,392795,1.6424,392890,-1,-2,0
1545097260000,392748,392769,392578,392681,0.4801,392673,-1,-2,0
1545097320000,392578,392710,392378,392686,1.0947,392544,0,-1,0
1545097380000,392681,392931,392481,392931,10.3265,392706,0,0,0
