Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,Higeindex,PL
1523404800000,733538,733734,733014,733498,0.0717,733374,-1,0,0,0
1523404860000,733256,733740,733247,733518,0.1255,733493,0,0,0,0
1523404920000,733490,733620,733480,733620,0.6869,733550,0,0,1,0
1523404980000,733605,733741,733480,733741,0.5193,733610,0,0,1,0
1523405040000,733746,734019,733746,734019,1.5024,733882,0,0,1,0
1523405100000,734045,734045,733455,733727,0.1059,733750,-1,-1,0,0
1523405160000,733994,734000,733005,733473,1.052,733502,-1,-2,0,0
1523405220000,733467,733495,733011,733495,0.5379,733253,0,-1,1,0
1523405280000,733252,733899,733000,733427,1.0505,733449,0,0,0,0
1523405340000,733522,733748,733310,733516,0.7271,733529,-1,-1,0,0
1523405400000,733685,734000,733310,734000,0.8294,733655,0,-1,1,0
1523405460000,734100,734860,734058,734400,1.6325,734459,0,0,0,0
1523405520000,734401,735782,733625,734105,1.6378,734703,-1,-1,0,0
1523405580000,734105,734105,733310,733973,0.6574,733707,-1,-2,0,0
1523405640000,733974,734141,733599,733638,0.44,733870,-1,-2,0,0
1523405700000,733639,734073,733638,734071,0.2987,733855,0,-1,1,0
1523405760000,733934,734698,733362,733362,0.8722,734030,-1,-1,0,0
1523405820000,733787,733835,733333,733449,0.3378,733584,-1,-2,0,0
1523405880000,733505,734600,732900,734499,4.4484,733750,0,-1,1,0
1523405940000,733677,734095,732798,734095,0.4888,733446,0,0,1,0
1523406000000,733187,734098,732679,732810,0.9014,733388,-1,-1,0,0
1523406060000,733357,733401,732800,733105,0.1722,733100,-1,-2,0,0
1523406120000,733105,734098,732816,734098,0.4896,733457,0,-1,1,0
1523406180000,733938,734098,732927,733691,0.4052,733512,-1,-1,0,0
1523406240000,733881,733894,733661,733661,0.2717,733777,-1,-2,0,0
1523406300000,733661,733827,733293,733293,1.1093,733560,-1,-2,0,0
1523406360000,733394,733641,733054,733475,0.0409,733347,0,-1,0,0
1523406420000,733468,733621,733173,733438,0.0911,733397,-1,-1,0,0
1523406480000,733452,734080,733249,733816,0.9001,733664,0,-1,0,0
1523406540000,733814,734075,733582,733875,0.1169,733828,0,0,0,0
1523406600000,733871,733875,733000,733489,0.1893,733437,-1,-1,0,0
1523406660000,733000,733813,732897,733177,0.8425,733355,0,-1,0,0
1523406720000,733049,733713,733049,733219,0.4279,733381,0,0,0,0
1523406780000,733224,733510,732685,733194,0.134,733097,-1,-1,0,0
1523406840000,733194,733255,733116,733255,0.1036,733185,0,-1,1,0
