Time,Start,Max,Min,End,Tot_trans
1514937600000,1733743,1733743,1729998,1729998,0.0130
1514937660000,1729998,1729998,1729995,1729996,0.1329
1514937720000,1729996,1730000,1729996,1730000,0.0059
1514937780000,1733731,1734583,1731051,1731051,0.2799
1514937840000,1731172,1731172,1731172,1731172,0.0050
1514937900000,1741236,1741236,1731061,1731061,0.5070
1514937960000,1731065,1731523,1731041,1731041,0.1066
1514938020000,1731041,1731041,1731041,1731041,0.0000
1514938080000,1731041,1731041,1731041,1731041,0.0000
1514938140000,1731041,1731041,1731041,1731041,0.0000
1514938200000,1731190,1731190,1731189,1731189,0.1057
1514938260000,1731189,1731189,1731189,1731189,0.0000
1514938320000,1731189,1731189,1731189,1731189,0.0182
1514938380000,1731189,1731189,1731189,1731189,0.0000
1514938440000,1731294,1731294,1731189,1731189,0.0320
1514938500000,1735573,1735578,1735569,1735578,0.0282
1514938560000,1735578,1735609,1735578,1735598,0.0420
1514938620000,1735598,1735598,1735598,1735598,0.0000
1514938680000,1739383,1739383,1739383,1739383,0.0150
1514938740000,1740087,1741605,1740087,1741605,0.3110
1514938800000,1742764,1743595,1742764,1743595,0.0157
1514938860000,1744990,1751000,1743113,1743113,1.0100
1514938920000,1749035,1749035,1749035,1749035,0.0200
1514938980000,1749000,1749000,1743650,1743650,0.0383
1514939040000,1743650,1743650,1740638,1740638,0.0650
1514939100000,1740638,1740638,1740638,1740638,0.0100
1514939160000,1740638,1740638,1740638,1740638,0.0000
1514939220000,1740496,1740496,1740005,1740005,0.0300
1514939280000,1740271,1740496,1740271,1740496,0.0200
1514939340000,1740055,1740060,1740055,1740060,0.0115
1514939400000,1740496,1740496,1740000,1740000,0.0786
1514939460000,1740496,1744995,1740496,1744995,0.0100
1514939520000,1744697,1744697,1744697,1744697,0.0174
1514939580000,1744418,1765000,1740084,1740084,1.0300
1514939640000,1742048,1742048,1741176,1741176,0.0300
1514939700000,1741176,1741176,1741176,1741176,0.0000
1514939760000,1741176,1741176,1741176,1741176,0.0000
1514939820000,1741176,1741176,1741176,1741176,0.0000
1514939880000,1740886,1759800,1740886,1741339,0.1842
1514939940000,1748995,1748995,1742001,1742835,0.1610
1514940000000,1742842,1742888,1742842,1742888,0.0220
1514940060000,1742888,1742888,1741723,1742070,0.0123
1514940120000,1742070,1742070,1742070,1742070,0.0070
1514940180000,1742070,1742070,1742070,1742070,0.0000
1514940240000,1742070,1742070,1742070,1742070,0.0000
1514940300000,1741563,1741563,1740881,1740881,0.0040
1514940360000,1741129,1741144,1741129,1741141,0.0740
1514940420000,1741136,1743025,1741136,1743025,0.1371
1514940480000,1743030,1743030,1741136,1743008,0.3956
1514940540000,1741136,1743000,1740003,1740005,0.4097
1514940600000,1740140,1744364,1740140,1740225,0.1113
1514940660000,1743500,1743500,1739613,1739613,0.0529
1514940720000,1739363,1739363,1739363,1739363,0.0070
1514940780000,1739391,1739391,1739386,1739386,0.0103
1514940840000,1738792,1738792,1738772,1738772,0.0200
1514940900000,1738767,1738767,1738762,1738762,0.0170
1514940960000,1738767,1738767,1738762,1738762,0.0140
1514941020000,1738800,1738800,1738800,1738800,0.0020
1514941080000,1738800,1739363,1738800,1739363,0.1885
1514941140000,1740117,1741543,1740117,1741543,0.0110
1514941200000,1741538,1743748,1741538,1743748,0.0650
1514941260000,1743767,1745015,1743767,1745005,0.0316
1514941320000,1745020,1745020,1745005,1745005,0.0113
1514941380000,1747170,1749075,1746290,1749075,0.0320
1514941440000,1747690,1747690,1747690,1747690,0.0100
1514941500000,1746290,1748000,1745000,1747659,0.3888
1514941560000,1745000,1745020,1745000,1745020,0.0250
1514941620000,1745020,1745020,1745020,1745020,0.0000
1514941680000,1745020,1745020,1745020,1745020,0.0000
1514941740000,1745020,1745020,1745020,1745020,0.0000
1514941800000,1745120,1745120,1745120,1745120,0.0001
1514941860000,1745170,1745170,1745170,1745170,0.0001
1514941920000,1745200,1748334,1745200,1748324,0.0825
1514941980000,1748329,1748800,1747514,1747564,0.0278
1514942040000,1746689,1748795,1745016,1745016,0.0236
1514942100000,1745016,1745016,1744068,1744068,0.0101
1514942160000,1745011,1747994,1740459,1740459,0.0601
1514942220000,1741200,1741200,1741200,1741200,0.0001
1514942280000,1741511,1741787,1741511,1741787,0.0002
1514942340000,1746410,1746410,1741492,1746005,0.0111
1514942400000,1746035,1746035,1741265,1742980,0.0701
1514942460000,1743283,1743283,1743283,1743283,0.0001
1514942520000,1743283,1748000,1743283,1743651,0.2914
1514942580000,1743680,1743680,1743675,1743675,0.0002
1514942640000,1743684,1743684,1743684,1743684,0.0001
1514942700000,1743684,1743711,1743681,1743686,0.0225
1514942760000,1743716,1743716,1743691,1743691,0.0052
1514942820000,1743716,1743866,1743716,1743866,0.0003
1514942880000,1743796,1743796,1743796,1743796,0.0001
1514942940000,1743966,1743981,1743966,1743981,0.0002
1514943000000,1743961,1748000,1743961,1743968,0.0728
1514943060000,1747996,1747999,1743968,1743972,0.0705
1514943120000,1743977,1747999,1743977,1747130,0.1630
1514943180000,1747005,1747995,1743972,1743982,0.0348
1514943240000,1744000,1744000,1743890,1743890,0.1498
1514943300000,1744002,1748000,1743969,1748000,0.2984
1514943360000,1748000,1748000,1743976,1744036,0.0303
1514943420000,1743971,1743971,1743964,1743964,0.0151
1514943480000,1743994,1744089,1743994,1744084,0.0384
1514943540000,1744084,1744084,1744084,1744084,0.0000
1514943600000,1743999,1743999,1743989,1743989,0.0300
1514943660000,1744019,1744150,1744019,1744094,0.0538
1514943720000,1743985,1744150,1743985,1744145,0.0290
1514943780000,1744010,1744145,1744010,1744145,0.0111
1514943840000,1744010,1744150,1744010,1744150,0.0102
1514943900000,1744145,1744150,1743980,1743980,0.0209
1514943960000,1743995,1748000,1743995,1748000,0.0682
1514944020000,1744160,1748000,1744160,1748000,0.0864
1514944080000,1748000,1748040,1748000,1748030,0.0954
1514944140000,1748040,1748040,1748010,1748015,0.0600
1514944200000,1748015,1748795,1748010,1748010,0.0240
1514944260000,1748010,1748010,1748010,1748010,0.0010
1514944320000,1748795,1748795,1748795,1748795,0.0046
1514944380000,1748010,1748010,1747136,1747136,0.0368
1514944440000,1748026,1748026,1747136,1747136,0.3516
