,0,1
0,2019-12-26 01:47:32.418749,"{'bids': [[7189.0, 2064173.0], [7188.5, 66041.0], [7188.0, 34829.0], [7187.5, 69902.0], [7187.0, 99233.0], [7186.5, 146477.0], [7186.0, 367142.0], [7185.5, 744202.0], [7185.0, 232975.0], [7184.5, 173099.0], [7184.0, 275963.0], [7183.5, 212625.0], [7183.0, 118315.0], [7182.5, 199038.0], [7182.0, 185961.0], [7181.5, 43499.0], [7181.0, 77303.0], [7180.5, 140885.0], [7180.0, 326020.0], [7179.5, 65960.0], [7179.0, 341632.0], [7178.5, 114299.0], [7178.0, 187178.0], [7177.5, 114902.0], [7177.0, 128933.0]], 'asks': [[7189.5, 592867.0], [7190.0, 148153.0], [7190.5, 11161.0], [7191.0, 139214.0], [7191.5, 51821.0], [7192.0, 75097.0], [7192.5, 90431.0], [7193.0, 311703.0], [7193.5, 30800.0], [7194.0, 212363.0], [7194.5, 85993.0], [7195.0, 2872063.0], [7195.5, 91495.0], [7196.0, 279074.0], [7196.5, 54638.0], [7197.0, 155113.0], [7197.5, 111485.0], [7198.0, 119096.0], [7198.5, 270421.0], [7199.0, 74596.0], [7199.5, 71095.0], [7200.0, 412698.0], [7200.5, 87845.0], [7201.0, 153981.0], [7201.5, 145027.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
1,2019-12-26 01:48:33.549877,"{'bids': [[7189.0, 2181706.0], [7188.5, 61896.0], [7188.0, 43181.0], [7187.5, 70884.0], [7187.0, 87133.0], [7186.5, 133534.0], [7186.0, 282639.0], [7185.5, 816398.0], [7185.0, 308258.0], [7184.5, 98257.0], [7184.0, 252124.0], [7183.5, 232675.0], [7183.0, 111272.0], [7182.5, 149478.0], [7182.0, 229971.0], [7181.5, 43390.0], [7181.0, 172406.0], [7180.5, 143143.0], [7180.0, 149531.0], [7179.5, 104456.0], [7179.0, 281322.0], [7178.5, 135771.0], [7178.0, 186874.0], [7177.5, 116490.0], [7177.0, 179574.0]], 'asks': [[7189.5, 564140.0], [7190.0, 148377.0], [7190.5, 11355.0], [7191.0, 139260.0], [7191.5, 51551.0], [7192.0, 67578.0], [7192.5, 82341.0], [7193.0, 311794.0], [7193.5, 63953.0], [7194.0, 211995.0], [7194.5, 51207.0], [7195.0, 2653326.0], [7195.5, 56506.0], [7196.0, 452847.0], [7196.5, 90930.0], [7197.0, 221237.0], [7197.5, 131931.0], [7198.0, 184006.0], [7198.5, 207690.0], [7199.0, 114797.0], [7199.5, 69770.0], [7200.0, 484837.0], [7200.5, 100879.0], [7201.0, 123634.0], [7201.5, 130318.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
2,2019-12-26 01:49:33.862545,"{'bids': [[7189.0, 3307052.0], [7188.5, 137019.0], [7188.0, 85765.0], [7187.5, 105136.0], [7187.0, 432882.0], [7186.5, 254482.0], [7186.0, 111525.0], [7185.5, 736906.0], [7185.0, 161329.0], [7184.5, 229835.0], [7184.0, 198474.0], [7183.5, 233433.0], [7183.0, 120681.0], [7182.5, 24088.0], [7182.0, 165140.0], [7181.5, 128858.0], [7181.0, 101867.0], [7180.5, 111998.0], [7180.0, 143480.0], [7179.5, 71265.0], [7179.0, 401257.0], [7178.5, 143510.0], [7178.0, 133568.0], [7177.5, 70395.0], [7177.0, 87408.0]], 'asks': [[7189.5, 245318.0], [7190.0, 144348.0], [7190.5, 11280.0], [7191.0, 142260.0], [7191.5, 52526.0], [7192.0, 56730.0], [7192.5, 88833.0], [7193.0, 206832.0], [7193.5, 10798.0], [7194.0, 57474.0], [7194.5, 116009.0], [7195.0, 2582409.0], [7195.5, 96017.0], [7196.0, 31786.0], [7196.5, 28923.0], [7197.0, 147371.0], [7197.5, 58831.0], [7198.0, 79139.0], [7198.5, 153884.0], [7199.0, 49007.0], [7199.5, 154586.0], [7200.0, 494374.0], [7200.5, 380180.0], [7201.0, 151597.0], [7201.5, 199055.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
3,2019-12-26 01:50:34.532439,"{'bids': [[7192.0, 2245489.0], [7191.5, 217581.0], [7191.0, 143092.0], [7190.5, 170863.0], [7190.0, 432710.0], [7189.5, 161796.0], [7189.0, 270391.0], [7188.5, 324799.0], [7188.0, 158085.0], [7187.5, 174408.0], [7187.0, 317293.0], [7186.5, 175340.0], [7186.0, 67985.0], [7185.5, 550841.0], [7185.0, 200923.0], [7184.5, 91629.0], [7184.0, 101714.0], [7183.5, 39505.0], [7183.0, 72070.0], [7182.5, 43134.0], [7182.0, 189864.0], [7181.5, 201047.0], [7181.0, 137997.0], [7180.5, 82096.0], [7180.0, 233919.0]], 'asks': [[7192.5, 82009.0], [7193.0, 207088.0], [7193.5, 7314.0], [7194.0, 106910.0], [7194.5, 34363.0], [7195.0, 2570466.0], [7195.5, 20553.0], [7196.0, 10274.0], [7196.5, 116154.0], [7197.0, 67084.0], [7197.5, 167076.0], [7198.0, 157877.0], [7198.5, 100163.0], [7199.0, 66213.0], [7199.5, 77222.0], [7200.0, 498389.0], [7200.5, 371178.0], [7201.0, 103474.0], [7201.5, 300043.0], [7202.0, 288192.0], [7202.5, 160126.0], [7203.0, 155172.0], [7203.5, 125263.0], [7204.0, 342290.0], [7204.5, 189011.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
4,2019-12-26 01:51:36.378371,"{'bids': [[7192.5, 934537.0], [7192.0, 45877.0], [7191.5, 168471.0], [7191.0, 79520.0], [7190.5, 142273.0], [7190.0, 247640.0], [7189.5, 33055.0], [7189.0, 167348.0], [7188.5, 117725.0], [7188.0, 107658.0], [7187.5, 42574.0], [7187.0, 178582.0], [7186.5, 383305.0], [7186.0, 108274.0], [7185.5, 751499.0], [7185.0, 118979.0], [7184.5, 71219.0], [7184.0, 93205.0], [7183.5, 90398.0], [7183.0, 141113.0], [7182.5, 33605.0], [7182.0, 192432.0], [7181.5, 205350.0], [7181.0, 62206.0], [7180.5, 128217.0]], 'asks': [[7193.0, 1095670.0], [7193.5, 21509.0], [7194.0, 64909.0], [7194.5, 57830.0], [7195.0, 2636237.0], [7195.5, 30637.0], [7196.0, 18578.0], [7196.5, 117957.0], [7197.0, 122112.0], [7197.5, 45092.0], [7198.0, 173574.0], [7198.5, 460758.0], [7199.0, 222664.0], [7199.5, 121848.0], [7200.0, 461162.0], [7200.5, 290251.0], [7201.0, 195852.0], [7201.5, 176867.0], [7202.0, 227165.0], [7202.5, 133691.0], [7203.0, 139502.0], [7203.5, 142831.0], [7204.0, 264473.0], [7204.5, 190471.0], [7205.0, 240119.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
5,2019-12-26 01:52:36.677162,"{'bids': [[7192.5, 1695276.0], [7192.0, 102647.0], [7191.5, 55469.0], [7191.0, 24427.0], [7190.5, 384808.0], [7190.0, 28879.0], [7189.5, 43658.0], [7189.0, 147620.0], [7188.5, 149422.0], [7188.0, 300951.0], [7187.5, 60851.0], [7187.0, 261934.0], [7186.5, 418640.0], [7186.0, 87643.0], [7185.5, 703189.0], [7185.0, 173081.0], [7184.5, 64724.0], [7184.0, 102223.0], [7183.5, 23063.0], [7183.0, 74644.0], [7182.5, 92893.0], [7182.0, 141964.0], [7181.5, 101602.0], [7181.0, 70888.0], [7180.5, 172609.0]], 'asks': [[7193.0, 332429.0], [7193.5, 16061.0], [7194.0, 81781.0], [7194.5, 37409.0], [7195.0, 2692954.0], [7195.5, 59156.0], [7196.0, 7737.0], [7196.5, 111420.0], [7197.0, 86842.0], [7197.5, 28579.0], [7198.0, 81400.0], [7198.5, 108679.0], [7199.0, 433862.0], [7199.5, 44231.0], [7200.0, 657463.0], [7200.5, 155482.0], [7201.0, 103043.0], [7201.5, 173180.0], [7202.0, 319923.0], [7202.5, 180270.0], [7203.0, 225320.0], [7203.5, 147588.0], [7204.0, 211243.0], [7204.5, 185047.0], [7205.0, 304422.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
6,2019-12-26 01:53:37.436925,"{'bids': [[7192.5, 1700503.0], [7192.0, 21458.0], [7191.5, 98161.0], [7191.0, 40225.0], [7190.5, 391337.0], [7190.0, 70777.0], [7189.5, 33835.0], [7189.0, 148774.0], [7188.5, 110624.0], [7188.0, 224570.0], [7187.5, 117628.0], [7187.0, 99132.0], [7186.5, 342259.0], [7186.0, 89590.0], [7185.5, 706261.0], [7185.0, 95446.0], [7184.5, 201468.0], [7184.0, 102350.0], [7183.5, 24627.0], [7183.0, 174372.0], [7182.5, 49060.0], [7182.0, 217272.0], [7181.5, 176479.0], [7181.0, 60894.0], [7180.5, 57566.0]], 'asks': [[7193.0, 1035194.0], [7193.5, 13197.0], [7194.0, 119924.0], [7194.5, 136981.0], [7195.0, 2625647.0], [7195.5, 24830.0], [7196.0, 7676.0], [7196.5, 27796.0], [7197.0, 91754.0], [7197.5, 106595.0], [7198.0, 51409.0], [7198.5, 105851.0], [7199.0, 297067.0], [7199.5, 395413.0], [7200.0, 457271.0], [7200.5, 227219.0], [7201.0, 163559.0], [7201.5, 216465.0], [7202.0, 246320.0], [7202.5, 218892.0], [7203.0, 153120.0], [7203.5, 198225.0], [7204.0, 216109.0], [7204.5, 79895.0], [7205.0, 230100.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
7,2019-12-26 01:54:37.748541,"{'bids': [[7192.5, 1183459.0], [7192.0, 37894.0], [7191.5, 66370.0], [7191.0, 6515.0], [7190.5, 273049.0], [7190.0, 52255.0], [7189.5, 257228.0], [7189.0, 176721.0], [7188.5, 124028.0], [7188.0, 221340.0], [7187.5, 130155.0], [7187.0, 76532.0], [7186.5, 357217.0], [7186.0, 77737.0], [7185.5, 586805.0], [7185.0, 106035.0], [7184.5, 90291.0], [7184.0, 96444.0], [7183.5, 147014.0], [7183.0, 132747.0], [7182.5, 73611.0], [7182.0, 188111.0], [7181.5, 185758.0], [7181.0, 129588.0], [7180.5, 72667.0]], 'asks': [[7193.0, 1221375.0], [7193.5, 49886.0], [7194.0, 244814.0], [7194.5, 109508.0], [7195.0, 2622932.0], [7195.5, 28065.0], [7196.0, 35979.0], [7196.5, 100713.0], [7197.0, 192990.0], [7197.5, 210202.0], [7198.0, 289139.0], [7198.5, 195282.0], [7199.0, 424902.0], [7199.5, 143065.0], [7200.0, 447397.0], [7200.5, 295717.0], [7201.0, 94824.0], [7201.5, 108300.0], [7202.0, 265459.0], [7202.5, 198445.0], [7203.0, 113925.0], [7203.5, 195949.0], [7204.0, 247568.0], [7204.5, 84323.0], [7205.0, 222539.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
8,2019-12-26 01:55:38.049560,"{'bids': [[7192.5, 1609411.0], [7192.0, 19012.0], [7191.5, 96934.0], [7191.0, 43051.0], [7190.5, 214416.0], [7190.0, 24810.0], [7189.5, 258073.0], [7189.0, 197917.0], [7188.5, 166036.0], [7188.0, 190458.0], [7187.5, 157440.0], [7187.0, 46724.0], [7186.5, 323867.0], [7186.0, 162076.0], [7185.5, 604552.0], [7185.0, 164239.0], [7184.5, 100728.0], [7184.0, 142882.0], [7183.5, 69583.0], [7183.0, 60998.0], [7182.5, 32887.0], [7182.0, 263643.0], [7181.5, 185758.0], [7181.0, 127373.0], [7180.5, 87063.0]], 'asks': [[7193.0, 1223469.0], [7193.5, 9474.0], [7194.0, 165432.0], [7194.5, 38489.0], [7195.0, 2583750.0], [7195.5, 57108.0], [7196.0, 32176.0], [7196.5, 137594.0], [7197.0, 225332.0], [7197.5, 53279.0], [7198.0, 117680.0], [7198.5, 79497.0], [7199.0, 301584.0], [7199.5, 416784.0], [7200.0, 359467.0], [7200.5, 304761.0], [7201.0, 74117.0], [7201.5, 139454.0], [7202.0, 227423.0], [7202.5, 181200.0], [7203.0, 141490.0], [7203.5, 147498.0], [7204.0, 207145.0], [7204.5, 185909.0], [7205.0, 324931.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
9,2019-12-26 01:56:38.408390,"{'bids': [[7192.5, 1761274.0], [7192.0, 69441.0], [7191.5, 92211.0], [7191.0, 50113.0], [7190.5, 224416.0], [7190.0, 35555.0], [7189.5, 262772.0], [7189.0, 180908.0], [7188.5, 178116.0], [7188.0, 198414.0], [7187.5, 224152.0], [7187.0, 60074.0], [7186.5, 323421.0], [7186.0, 76437.0], [7185.5, 707619.0], [7185.0, 132424.0], [7184.5, 89818.0], [7184.0, 174114.0], [7183.5, 72971.0], [7183.0, 69527.0], [7182.5, 98612.0], [7182.0, 205033.0], [7181.5, 138420.0], [7181.0, 124820.0], [7180.5, 158223.0]], 'asks': [[7193.0, 773449.0], [7193.5, 6428.0], [7194.0, 171974.0], [7194.5, 85727.0], [7195.0, 2572853.0], [7195.5, 19791.0], [7196.0, 28532.0], [7196.5, 159290.0], [7197.0, 212287.0], [7197.5, 56563.0], [7198.0, 110435.0], [7198.5, 102171.0], [7199.0, 307560.0], [7199.5, 399706.0], [7200.0, 393287.0], [7200.5, 233176.0], [7201.0, 159434.0], [7201.5, 128965.0], [7202.0, 141895.0], [7202.5, 255693.0], [7203.0, 144627.0], [7203.5, 146148.0], [7204.0, 171400.0], [7204.5, 139202.0], [7205.0, 367002.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
