Time,Start,Max,Min,End,Tot_trans
1530316800000,684328,685500,684273,684278,1.0401
1530316860000,684278,685015,683171,684140,3.0296
1530316920000,684141,684253,683191,683500,0.5509
1530316980000,683500,683800,681938,683500,1.9413
1530317040000,683500,684000,682720,683273,0.6280
1530317100000,683600,684755,682726,683799,1.1087
1530317160000,683799,685990,683799,685467,1.3014
1530317220000,684930,685468,683889,685314,1.0150
1530317280000,684823,685310,684042,685229,1.0336
1530317340000,684765,685217,683493,684985,0.9395
1530317400000,684984,685504,684771,685504,2.1086
1530317460000,685505,685948,684771,685322,1.0140
1530317520000,685327,685986,685200,685462,0.8325
1530317580000,685518,685999,684771,685892,1.3747
1530317640000,685562,685887,684771,685478,0.8210
1530317700000,685467,685467,684272,685336,0.8934
1530317760000,685336,685336,684959,684998,0.4510
1530317820000,684998,684998,684621,684995,0.5050
1530317880000,684927,685500,684008,685500,1.3370
1530317940000,685430,685500,685205,685500,1.5090
1530318000000,685499,685510,684397,685412,0.9810
1530318060000,685411,686000,685411,686000,1.2927
1530318120000,685990,686000,685730,685989,0.3733
1530318180000,685731,685990,685725,685990,0.4203
1530318240000,685979,686518,685595,686518,0.7192
1530318300000,686315,687000,686018,686380,0.2459
1530318360000,686279,686909,685838,686273,0.7219
1530318420000,686859,687000,686277,686623,1.1761
1530318480000,686868,687989,686850,687989,0.2190
1530318540000,687129,687999,686885,687920,1.1603
1530318600000,687869,688000,686294,687994,1.5236
1530318660000,687994,687994,686285,686944,3.2480
1530318720000,686943,687994,686572,687994,3.2529
1530318780000,688000,688499,687533,688499,1.5953
1530318840000,688394,689262,688274,688504,4.6426
1530318900000,688504,689302,687651,687651,2.8669
1530318960000,687987,688257,687653,688000,1.6381
1530319020000,687667,688276,687000,688276,1.5919
1530319080000,688161,688572,687654,688300,0.8424
1530319140000,688143,688585,687726,688585,0.6958
1530319200000,688069,688487,687500,687988,1.2510
1530319260000,687978,687988,687200,687273,1.0172
1530319320000,687488,687498,687000,687453,1.2604
1530319380000,687487,687487,687000,687486,1.6230
1530319440000,687487,687989,687129,687939,0.9070
1530319500000,687692,687692,687621,687634,2.3224
1530319560000,687634,688000,687634,688000,1.2579
1530319620000,687945,688000,687902,688000,2.4429
1530319680000,687999,688585,687894,688000,1.2934
1530319740000,687999,688584,687902,688017,0.3203
1530319800000,688000,688584,687500,687520,1.4749
1530319860000,687755,687994,686990,687994,1.9567
1530319920000,687175,687603,687087,687087,0.0952
1530319980000,687543,687639,687469,687560,0.3637
1530320040000,687555,687560,687554,687554,0.1013
1530320100000,687560,688000,686500,687405,2.3045
1530320160000,687495,687716,687405,687500,0.4600
1530320220000,687500,687780,686502,687776,0.9054
