Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543017600000,486128,486493,486128,486493,0.8484,486310,0,0,0
1543017660000,486438,486940,486438,486931,0.3237,486689,0,0,0
1543017720000,486939,488919,486686,487288,1.4873,487802,0,0,0
1543017780000,487227,487828,487227,487448,0.4562,487527,0,0,0
1543017840000,487426,487545,487415,487415,1.4108,487480,-1,-1,0
1543017900000,487282,487607,487162,487607,1.1407,487384,0,-1,0
1543017960000,487607,487664,487412,487412,0.7268,487538,-1,-1,0
1543018020000,487349,488092,487349,487793,1.0656,487720,0,-1,0
1543018080000,487485,488472,487485,487960,0.5248,487978,0,0,0
1543018140000,487964,488660,487723,488269,1.4826,488191,0,0,0
1543018200000,488259,488350,487898,488350,2.2425,488124,0,0,0
1543018260000,488347,488350,487371,487371,3.1635,487860,-1,-1,0
1543018320000,487646,487825,487000,487460,2.7145,487412,-1,-2,0
1543018380000,487460,488136,487460,487970,0.8125,487798,0,-1,0
1543018440000,487960,487960,487460,487655,0.6445,487710,-1,-1,0
1543018500000,487585,487901,487469,487507,0.7109,487685,-1,-2,0
1543018560000,487511,487784,487511,487516,0.0911,487647,0,-1,0
1543018620000,487795,487795,487530,487535,0.1237,487662,-1,-1,0
1543018680000,487767,488488,487766,488487,0.5086,488127,0,-1,0
1543018740000,488487,488499,488344,488413,0.5405,488421,-1,-1,0
1543018800000,488413,488500,488287,488475,0.7873,488393,0,-1,0
1543018860000,488242,488252,487803,487803,1.4829,488027,-1,-1,0
1543018920000,487794,487794,487506,487690,0.3001,487650,-1,-2,0
1543018980000,487619,487712,487608,487662,0.2268,487660,0,-1,0
1543019040000,487676,487721,487639,487675,0.6443,487680,-1,-1,0
1543019100000,487722,488587,487722,488319,1.7125,488154,0,-1,0
1543019160000,488587,488890,488277,488482,1.8208,488583,-1,-1,0
1543019220000,488482,488697,488303,488305,3.3325,488500,-1,-2,0
1543019280000,488307,488307,488064,488303,1.3692,488185,-1,-2,0
1543019340000,488117,488736,488112,488339,0.1961,488424,0,-1,0
1543019400000,488342,490000,488342,489864,3.5112,489171,1,1,0
1543019460000,489982,490000,489501,489602,1.3116,489750,-1,0,0
1543019520000,489636,489732,489431,489619,1.4223,489581,-1,-2,0
1543019580000,489616,490000,489457,489500,5.8426,489728,-1,-2,0
1543019640000,489499,490600,489486,490265,13.8621,490043,0,-1,0
1543019700000,490061,490061,489082,489204,1.7604,489571,-1,-1,0
1543019760000,489194,489199,488367,488373,3.2425,488783,-1,-2,0
1543019820000,488369,489281,488369,488974,3.019,488825,0,-1,0
1543019880000,488969,489435,488484,488484,4.8903,488959,-1,-1,0
1543019940000,488973,488998,488484,488658,1.8141,488741,-1,-2,0
1543020000000,488688,489982,488369,489826,4.6034,489175,1,0,0
1543020060000,489675,489988,489241,489241,0.6767,489614,-1,0,0
1543020120000,489321,489330,489000,489198,0.2021,489165,-1,-2,0
1543020180000,489000,489188,488907,488995,0.7246,489047,-1,-2,0
1543020240000,488969,489971,488923,489651,1.2802,489447,0,-1,0
1543020300000,489919,492000,489919,491314,6.5646,490959,1,1,0
1543020360000,491853,495800,491853,493428,10.3367,493826,1,2,0
1543020420000,493326,494882,492607,494432,6.6855,493744,1,2,0
1543020480000,494422,495928,494184,494678,11.6471,495056,0,1,1096
1543020540000,495000,495281,493721,494112,3.6559,494501,-1,-1,1096
1543020600000,494107,494353,492742,493415,2.382,493547,-1,-2,1096
1543020660000,493410,493413,492917,492917,1.4017,493165,-1,-2,1096
1543020720000,492917,493037,492382,492665,4.8561,492709,-1,-2,1096
1543020780000,492711,493000,492066,492991,2.0426,492533,0,-1,1096
1543020840000,492597,492996,492334,492995,1.3127,492665,0,0,1096
1543020900000,492992,493000,492393,492534,2.0429,492696,-1,-1,1096
1543020960000,492525,493445,491402,491984,2.8319,492423,-1,-2,1096
1543021020000,491984,492000,491702,491820,5.8329,491851,-1,-2,1096
1543021080000,491820,492000,491753,491999,2.4882,491876,0,-1,1096
1543021140000,491999,492739,491999,492497,3.174,492369,0,0,1096
1543021200000,492497,493012,491818,492511,2.5208,492415,0,0,1096
1543021260000,492500,492608,491922,492457,1.2745,492265,-1,-1,1096
1543021320000,492395,492422,491982,492136,1.1874,492202,-1,-2,1096
1543021380000,491832,492135,491248,491800,1.2361,491691,-1,-2,1096
1543021440000,491500,491932,491500,491931,1.7771,491716,0,-1,1096
1543021500000,491592,492287,491592,491661,0.6654,491939,0,0,1096
1543021560000,491946,491956,491614,491857,0.1585,491785,-1,-1,1096
1543021620000,491824,491834,491500,491500,0.9232,491667,-1,-2,1096
1543021680000,491500,491570,491172,491445,0.5738,491371,-1,-2,1096
1543021740000,491432,491984,491210,491382,1.304,491597,-1,-2,1096
1543021800000,491389,492300,491364,491834,0.4609,491832,0,-1,1096
1543021860000,492261,493800,491534,493000,3.5178,492667,0,0,1096
1543021920000,493000,493000,491500,491823,1.3052,492250,-1,-1,1096
1543021980000,491822,491905,491818,491829,0.5252,491861,0,-1,1096
1543022040000,491905,492225,491905,492180,0.2364,492065,0,0,1096
1543022100000,492131,492225,492014,492015,0.204,492119,-1,-1,1096
1543022160000,492010,493896,492010,492538,1.5118,492953,0,-1,1096
1543022220000,492488,494000,492436,493441,4.5094,493218,0,0,1096
1543022280000,493441,493441,492845,492845,2.5954,493143,-1,-1,1096
1543022340000,492845,492845,491501,491532,3.6361,492173,-1,-2,1096
1543022400000,491531,491531,490029,490431,5.2662,490780,-1,-2,1096
1543022460000,490251,490431,490251,490298,0.5339,490341,0,-1,1096
1543022520000,490298,490381,489679,490000,3.7172,490030,-1,-1,1096
1543022580000,490000,490000,489500,489912,0.7905,489750,-1,-2,1096
1543022640000,489902,490370,489902,490009,0.8983,490136,0,-1,1096
1543022700000,490004,490008,489000,489000,2.8697,489504,-1,-1,1096
1543022760000,489124,489134,488587,489133,4.9234,488860,0,-1,1096
1543022820000,489128,489401,488720,488958,0.837,489060,-1,-1,1096
1543022880000,489035,489775,489035,489557,1.8527,489405,0,-1,1096
1543022940000,489570,489807,489316,489500,0.2314,489561,-1,-1,1096
1543023000000,489723,489869,489723,489855,0.5076,489796,0,-1,1096
1543023060000,489728,489860,489428,489428,0.3154,489644,-1,-1,1096
1543023120000,489461,489858,489017,489203,0.945,489437,-1,-2,1096
1543023180000,489017,489202,488898,488898,0.5072,489050,-1,-2,1096
1543023240000,488898,489039,488610,489003,0.629,488824,0,-1,1096
1543023300000,489003,489454,489003,489443,0.2771,489228,0,0,1096
1543023360000,489399,489543,489103,489289,0.4338,489323,-1,-1,1096
1543023420000,489542,489870,489326,489870,0.9267,489598,0,-1,1096
1543023480000,489870,490000,489711,489991,0.9745,489855,0,0,1096
1543023540000,489991,490000,489699,490000,0.4232,489849,0,0,1096
1543023600000,489999,490304,489700,490031,6.6293,490002,0,0,1096
1543023660000,490262,490783,489857,489995,1.088,490320,-1,-1,1096
1543023720000,489961,490428,489820,490055,1.0902,490124,0,-1,1096
1543023780000,490304,490700,490142,490700,2.9371,490421,0,0,1096
1543023840000,490677,490932,490411,490932,0.164,490671,0,0,1096
1543023900000,490630,490954,490166,490166,0.576,490560,-1,-1,1096
1543023960000,490414,491199,490188,490695,1.696,490693,0,-1,1096
1543024020000,490919,491197,490861,490861,0.3501,491029,-1,-1,1096
1543024080000,490860,491390,490719,491390,0.9546,491054,0,-1,1096
1543024140000,491020,491400,490358,490358,1.0527,490879,-1,-1,1096
1543024200000,490798,490798,489990,490552,1.7931,490394,-1,-2,1096
1543024260000,490464,491000,489999,491000,5.0608,490499,0,-1,1096
1543024320000,490650,491400,490369,491400,1.8715,490884,0,0,1096
1543024380000,491399,491399,490779,491161,2.3417,491089,-1,-1,1096
1543024440000,491170,491170,490510,490510,0.1876,490840,-1,-2,1096
1543024500000,490779,490809,490779,490809,0.2817,490794,0,-1,1096
1543024560000,490809,491400,490809,491114,0.5253,491104,0,0,1096
1543024620000,491118,491400,491040,491358,0.5839,491220,0,0,1096
1543024680000,491105,491400,491000,491400,0.4455,491200,0,0,1096
1543024740000,491351,491400,491063,491400,0.1288,491231,0,0,1096
1543024800000,491400,491400,490764,490764,0.8419,491082,-1,-1,1096
1543024860000,490764,491399,490720,491138,0.2189,491059,0,-1,1096
1543024920000,491143,491500,491143,491278,0.4681,491321,0,0,1096
1543024980000,491300,492000,491300,491619,0.5439,491650,0,0,1096
1543025040000,491950,492010,491534,491534,1.2308,491772,-1,-1,1096
1543025100000,491525,492606,491525,492241,0.9968,492065,0,-1,1096
1543025160000,492556,493000,492120,492349,1.4991,492560,-1,-1,1096
1543025220000,492140,492990,492039,492085,0.8617,492514,-1,-2,1096
1543025280000,492107,492134,491452,491452,0.6331,491793,-1,-2,1096
1543025340000,491452,491568,490888,490888,0.6402,491228,-1,-2,1096
1543025400000,490704,491048,490600,490600,0.1741,490824,-1,-2,1096
1543025460000,490613,491195,490608,491194,1.5546,490901,0,-1,1096
1543025520000,490779,491875,490775,491875,1.2113,491325,1,1,1096
1543025580000,491333,491333,490613,490740,1.0532,490973,-1,0,1096
1543025640000,490613,490613,490000,490000,0.7128,490306,-1,-2,1096
1543025700000,490000,490942,489264,490787,3.9545,490103,0,-1,1096
1543025760000,490333,490660,489800,489800,1.9153,490230,-1,-1,1096
1543025820000,489800,490070,489312,489385,0.3578,489691,-1,-2,1096
1543025880000,489400,489735,489241,489686,1.1029,489488,0,-1,1096
1543025940000,489363,489487,488900,488917,0.5068,489193,-1,-1,1096
1543026000000,488907,489483,488814,488814,0.9814,489148,-1,-2,1096
1543026060000,488844,489445,488575,488723,1.0372,489010,-1,-2,1096
1543026120000,488773,489439,488517,488954,1.0111,488978,0,-1,1096
1543026180000,488991,488991,488500,488500,1.0382,488745,-1,-1,1096
1543026240000,488487,488766,488000,488393,1.0304,488383,-1,-2,1096
1543026300000,488011,488405,487935,487962,1.1628,488170,-1,-2,1096
1543026360000,488023,488793,488023,488700,1.1368,488408,0,-1,1096
1543026420000,488544,488890,488167,488169,0.7201,488528,-1,-1,1096
1543026480000,488339,488555,487914,488280,2.8793,488234,-1,-2,1096
1543026540000,488279,488774,487964,488079,1.9393,488369,-1,-2,1096
1543026600000,488334,489285,488269,488933,2.3447,488777,0,-1,1096
1543026660000,489188,490354,488852,489395,2.8402,489603,0,0,1096
1543026720000,489346,489400,488331,488429,1.1173,488865,-1,-1,1096
1543026780000,488429,489399,488298,489399,0.308,488848,0,-1,1096
1543026840000,488540,488540,488310,488310,0.7122,488425,-1,-1,1096
