Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,Higeindex,PL
1540339200000,717511,717856,717510,717856,0.3178,717683,0,0,1,0
1540339260000,717845,717854,717845,717850,0.8102,717849,0,0,0,0
1540339320000,717850,717867,717770,717770,0.7824,717818,-1,-1,0,0
1540339380000,717775,717843,717710,717710,0.4726,717776,-1,-2,0,0
1540339440000,717680,717680,717578,717589,0.0796,717629,-1,-2,0,0
1540339500000,717588,717724,717588,717588,0.5626,717656,0,-1,0,0
1540339560000,717588,717616,717500,717506,0.6648,717558,-1,-1,0,0
1540339620000,717506,717816,717506,717801,1.0774,717661,0,-1,1,0
1540339680000,717806,717806,717800,717801,1.1845,717803,-1,-1,0,0
1540339740000,717805,717806,717800,717805,0.8176,717803,0,-1,0,0
1540339800000,717800,717807,717710,717710,0.3994,717758,-1,-1,0,0
1540339860000,717806,717806,717680,717700,0.3483,717743,-1,-2,0,0
1540339920000,717700,717807,717700,717700,0.2085,717753,0,-1,0,0
1540339980000,717700,717833,717700,717826,0.4046,717766,0,0,1,0
1540340040000,717712,717825,717700,717784,0.2122,717762,0,0,0,0
1540340100000,717720,717838,717720,717770,0.3144,717779,0,0,0,0
1540340160000,717733,717843,717733,717776,0.3897,717788,0,0,0,0
1540340220000,717843,717938,717779,717805,0.555,717858,-1,-1,0,0
1540340280000,717929,718176,717811,717852,2.1386,717993,-1,-2,0,0
1540340340000,717910,717939,717852,717852,3.4954,717895,-1,-2,0,0
1540340400000,717857,719062,717852,718406,2.915,718457,0,-1,0,0
1540340460000,718406,718427,718130,718162,2.0896,718278,-1,-1,0,0
1540340520000,718233,718340,718150,718176,0.6946,718245,-1,-2,0,0
1540340580000,718208,718252,718179,718188,1.2732,718215,-1,-2,0,0
1540340640000,718188,719200,717620,718441,5.601,718410,0,-1,0,0
1540340700000,718400,718420,718130,718365,2.3984,718275,-1,-1,0,0
1540340760000,718280,718370,718280,718360,0.1591,718325,0,-1,1,0
1540340820000,718340,718358,718190,718238,1.1179,718274,-1,-1,0,0
1540340880000,718238,718260,717908,718034,1.2748,718084,-1,-2,0,0
1540340940000,717979,718222,717979,718120,1.2183,718100,0,-1,0,0
1540341000000,718170,718222,718081,718173,1.7604,718151,0,0,0,0
1540341060000,718174,719251,718118,718463,3.6662,718684,0,0,0,0
1540341120000,718439,718583,718404,718583,0.5458,718493,0,0,1,0
1540341180000,718586,718586,718463,718571,0.0353,718524,-1,-1,0,0
1540341240000,718576,718587,718576,718586,0.0839,718581,0,-1,1,0
1540341300000,718586,718629,718586,718629,0.2343,718607,0,0,1,0
1540341360000,718630,718810,718588,718588,0.4716,718699,-1,-1,0,0
1540341420000,718730,719179,718611,718622,0.5562,718895,-1,-2,0,0
1540341480000,718622,718736,718611,718633,0.7335,718673,0,-1,0,0
1540341540000,718705,719800,718605,719325,3.9033,719202,0,0,0,0
1540341600000,719000,719324,718610,718963,1.8601,718967,-1,-1,0,0
1540341660000,718923,719253,718346,718598,3.0725,718799,-1,-2,0,0
1540341720000,718611,718999,718493,718999,0.4099,718746,0,-1,1,0
1540341780000,718970,719018,718814,718991,1.0819,718916,0,0,0,0
1540341840000,718915,718920,718915,718920,0.1874,718917,0,0,1,0
1540341900000,718915,719423,718908,718969,0.8998,719165,0,0,0,0
1540341960000,718958,719000,718958,719000,0.1236,718979,0,0,1,0
1540342020000,719000,719063,719000,719019,0.0602,719031,0,0,0,0
1540342080000,719034,719260,719034,719192,0.7182,719147,0,0,0,0
1540342140000,719055,719231,719055,719084,0.3957,719143,0,0,0,0
1540342200000,719128,719245,719078,719181,0.4658,719161,0,0,0,0
1540342260000,719182,719217,719171,719217,0.3548,719194,0,0,1,0
1540342320000,719227,719685,719208,719208,1.2001,719446,-1,-1,0,0
1540342380000,719208,719208,718701,718790,0.7149,718954,-1,-2,0,0
1540342440000,718813,719717,718567,718961,2.7166,719142,0,-1,0,0
1540342500000,719635,719776,718889,719297,1.5572,719332,-1,-1,0,0
1540342560000,719765,719774,718890,719164,0.9622,719332,-1,-2,0,0
1540342620000,719012,720000,719000,719150,2.588,719500,0,-1,0,0
1540342680000,719157,719616,719075,719358,0.9215,719345,0,0,0,0
1540342740000,719261,719261,718700,719114,0.2432,718980,-1,-1,0,0
1540342800000,719092,719297,719089,719297,0.6112,719193,0,-1,1,0
1540342860000,719279,719320,719279,719311,0.1864,719299,0,0,0,0
1540342920000,719311,719358,719260,719302,1.6741,719309,-1,-1,0,0
1540342980000,719303,719358,719090,719090,0.7932,719224,-1,-2,0,0
1540343040000,719092,719317,719092,719114,0.3473,719204,0,-1,0,0
1540343100000,719295,719295,719118,719232,0.0791,719206,-1,-1,0,0
1540343160000,719174,719178,719139,719139,0.2722,719158,-1,-2,0,0
1540343220000,719105,719306,719083,719306,0.5277,719194,0,-1,1,0
1540343280000,719206,719307,718950,718990,0.8863,719128,-1,-1,0,0
1540343340000,718956,718960,718944,718944,0.2123,718952,-1,-2,0,0
1540343400000,718933,718944,718413,718500,2.26,718678,-1,-2,0,0
1540343460000,718494,719003,718374,718640,3.3452,718688,0,-1,0,0
1540343520000,718700,718865,718574,718677,0.2215,718719,-1,-1,0,0
1540343580000,718699,718777,718568,718777,0.7731,718672,0,-1,1,0
1540343640000,718733,718776,718673,718700,4.8438,718724,-1,-1,0,0
1540343700000,718700,719369,718700,718865,4.4723,719034,0,-1,0,0
1540343760000,718907,718970,718865,718970,1.2254,718917,0,0,1,0
1540343820000,718958,719128,718618,718890,1.2557,718873,-1,-1,0,0
1540343880000,718954,718954,718662,718662,0.2627,718808,-1,-2,0,0
1540343940000,718670,718916,718590,718695,0.9321,718753,0,-1,0,0
1540344000000,718809,718944,718716,718914,1.4012,718830,0,0,0,0
1540344060000,718948,719118,718771,718909,0.6523,718944,-1,-1,0,0
1540344120000,718897,719110,718556,718807,2.0299,718833,-1,-2,0,0
1540344180000,718798,718803,718657,718725,0.7786,718730,-1,-2,0,0
1540344240000,718725,718725,718555,718708,0.2271,718640,-1,-2,0,0
1540344300000,718663,718663,718263,718399,1.0439,718463,-1,-2,0,0
1540344360000,718265,719160,717969,718410,2.338,718564,0,-1,0,0
1540344420000,718455,718939,718455,718596,0.5109,718697,0,0,0,0
1540344480000,718595,718850,718508,718810,1.0963,718679,0,0,1,0
1540344540000,718850,719162,718850,719147,0.078,719006,0,0,1,0
1540344600000,719162,719233,718966,718982,0.5722,719099,-1,-1,0,0
1540344660000,718992,719125,718910,719125,0.8107,719017,0,-1,1,0
1540344720000,718950,719233,718930,719023,0.561,719081,0,0,0,0
1540344780000,718968,719212,718804,719193,0.2464,719008,0,0,1,0
1540344840000,719053,719163,718946,718970,0.1457,719054,-1,-1,0,0
1540344900000,718974,718980,718968,718980,0.5228,718974,0,-1,1,0
1540344960000,718980,719217,718980,719100,0.6313,719098,0,0,0,0
1540345020000,719145,719231,719135,719231,0.0988,719183,0,0,1,0
1540345080000,719210,719480,719210,719480,1.2401,719345,0,0,1,0
1540345140000,719497,719500,719402,719402,0.043,719451,-1,-1,0,0
1540345200000,719493,719510,719411,719411,0.0702,719460,-1,-2,0,0
1540345260000,719510,719510,719430,719495,0.6698,719470,-1,-2,0,0
1540345320000,719402,719402,719287,719289,0.5512,719344,-1,-2,0,0
1540345380000,719283,719283,718858,719077,0.5891,719070,-1,-2,0,0
1540345440000,719067,719200,718853,718956,0.7548,719026,-1,-2,0,0
1540345500000,719193,719301,719010,719100,1.1162,719155,-1,-2,0,0
1540345560000,719099,719100,718972,719021,0.1678,719036,-1,-2,0,0
1540345620000,719020,719042,718880,718880,1.1095,718961,-1,-2,0,0
1540345680000,718880,718979,718853,718968,2.3268,718916,0,-1,1,0
1540345740000,718968,719043,718942,718978,0.781,718992,0,0,0,0
1540345800000,718968,719000,718941,718945,2.6771,718970,-1,-1,0,0
1540345860000,718968,719000,718950,719000,0.9533,718975,0,-1,1,0
1540345920000,719023,719067,719023,719027,0.0704,719045,0,0,0,0
1540345980000,719109,719109,719109,719109,0.0027,719109,0,0,0,0
1540346040000,719089,719105,719082,719104,0.8133,719093,0,0,1,0
1540346100000,719109,720000,718950,719128,3.6657,719475,0,0,0,0
1540346160000,719100,719100,719000,719010,0.4346,719050,-1,-1,0,0
1540346220000,719000,719206,718945,718951,2.8302,719075,-1,-2,0,0
1540346280000,718952,719102,718945,718945,2.1055,719023,-1,-2,0,0
1540346340000,718950,718975,718945,718975,0.4163,718960,0,-1,1,0
1540346400000,718994,719783,718976,719046,1.721,719379,0,0,0,0
1540346460000,719080,719090,719010,719090,0.0782,719050,0,0,1,0
1540346520000,719189,719671,719173,719173,0.3534,719422,-1,-1,0,0
1540346580000,719324,719483,719215,719371,0.121,719349,0,-1,0,0
1540346640000,719446,719500,719115,719300,1.1753,719307,-1,-1,0,0
1540346700000,719299,719482,719228,719228,0.9088,719355,-1,-2,0,0
1540346760000,719205,719306,719203,719203,0.4178,719254,-1,-2,0,0
1540346820000,719204,719305,719203,719273,1.1803,719254,0,-1,0,0
1540346880000,719273,719286,719141,719141,0.383,719213,-1,-1,0,0
1540346940000,719266,719267,719189,719190,0.089,719228,-1,-2,0,0
1540347000000,719165,719165,719165,719165,0.048,719165,0,-1,0,0
1540347060000,719130,719165,719000,719000,0.2752,719082,-1,-1,0,0
1540347120000,719000,719503,718985,719279,0.936,719244,0,-1,0,0
1540347180000,719274,719465,719145,719150,0.4596,719305,-1,-1,0,0
1540347240000,719131,719131,719046,719046,0.1506,719088,-1,-2,0,0
1540347300000,719047,719131,719047,719131,0.121,719089,0,-1,1,0
1540347360000,719070,719131,719070,719131,0.0332,719100,0,0,1,0
1540347420000,719135,719135,719050,719126,0.4062,719092,-1,-1,0,0
1540347480000,719135,719145,719075,719075,0.167,719110,-1,-2,0,0
1540347540000,719140,719140,719048,719054,0.3737,719094,-1,-2,0,0
1540347600000,719076,719104,719076,719100,0.6814,719090,0,-1,1,0
1540347660000,719099,719099,718975,718992,0.187,719037,-1,-1,0,0
1540347720000,719012,719039,719007,719030,0.5792,719023,0,-1,0,0
1540347780000,719029,719040,718853,718899,2.6976,718946,-1,-1,0,0
1540347840000,718899,718900,718874,718877,0.2424,718887,-1,-2,0,0
1540347900000,718890,718900,718877,718900,2.8901,718888,0,-1,1,0
1540347960000,718896,718900,718888,718890,0.5145,718894,-1,-1,0,0
1540348020000,718887,718900,718877,718898,0.9684,718888,0,-1,1,0
1540348080000,718898,719923,718898,719000,1.8802,719410,0,0,0,0
1540348140000,719000,719950,719000,719361,1.7137,719475,0,0,0,0
1540348200000,719361,720217,719176,719710,2.4922,719696,0,0,0,0
1540348260000,719610,719649,719460,719466,0.542,719554,-1,-1,0,0
1540348320000,719497,719600,719466,719600,1.777,719533,0,-1,1,0
1540348380000,719493,719600,719472,719578,0.8379,719536,0,0,0,0
