Time,Amount,Price,Side,ID
1545696003562,0.0050,445518,0,27735929
1545696003591,0.0010,445424,0,27735930
1545696003619,0.0014,445379,0,27735931
1545696005635,0.0100,445544,0,27735932
1545696005846,0.0070,445683,1,27735933
1545696005897,0.0030,445693,1,27735934
1545696010627,0.0002,445536,1,27735935
1545696011601,0.0360,445542,1,27735936
1545696011752,0.0220,445542,1,27735937
1545696014636,0.0021,445541,1,27735938
1545696014687,0.0179,445542,1,27735939
1545696014920,0.0085,445541,1,27735940
1545696014972,0.1189,445542,1,27735941
1545696015029,0.0540,445543,1,27735942
1545696015084,0.0050,445683,1,27735943
1545696015145,0.0136,445733,1,27735944
1545696015364,0.0070,445531,1,27735945
1545696015415,0.0080,445532,1,27735946
1545696018642,0.0080,445548,0,27735947
1545696018899,0.0019,445454,0,27735948
1545696020571,0.0031,445455,0,27735949
1545696020597,0.0080,445454,0,27735950
1545696020627,0.0080,445454,0,27735951
1545696020654,0.0310,445444,0,27735952
1545696026642,0.0007,445568,1,27735953
1545696028574,0.0080,445688,1,27735954
1545696028604,0.0080,445723,1,27735955
1545696028630,0.0031,445732,1,27735956
1545696028656,0.0159,445733,1,27735957
1545696032589,0.0080,445488,0,27735958
1545696032613,0.2000,445478,0,27735959
1545696032639,0.0112,445453,0,27735960
1545696032664,0.0600,445453,0,27735961
1545696032776,0.1216,445453,1,27735962
1545696032800,0.0100,445723,1,27735963
1545696032824,0.1960,445733,1,27735964
1545696032847,0.0010,445733,1,27735965
1545696032871,0.0001,445812,1,27735966
1545696032896,0.0100,445813,1,27735967
1545696032919,0.0006,445858,1,27735968
1545696032943,0.0100,445900,1,27735969
1545696032967,0.0100,445900,1,27735970
1545696033001,0.0161,445936,1,27735971
1545696033689,0.0296,445999,1,27735972
1545696033746,0.0640,445999,1,27735973
1545696033802,0.0002,446000,1,27735974
1545696033859,0.1062,446000,1,27735975
1545696034595,0.0100,445936,0,27735976
1545696035622,0.0002,445935,0,27735977
1545696036631,0.0002,445935,0,27735978
1545696036838,0.0200,445935,0,27735979
1545696038792,0.0015,445937,0,27735980
1545696039623,0.0100,445945,0,27735981
1545696040617,0.0001,445968,1,27735982
1545696040643,0.1772,445999,1,27735983
1545696042648,0.0080,445989,1,27735984
1545696042713,0.0038,445999,1,27735985
1545696042740,0.0322,446000,1,27735986
1545696045619,0.0200,446000,1,27735987
1545696045754,1.8416,446000,1,27735988
1545696045779,0.0200,446000,1,27735989
1545696047642,0.0004,446003,0,27735990
1545696047787,0.1000,446043,1,27735991
1545696047899,0.0630,446043,1,27735992
1545696048683,0.0080,446043,1,27735993
1545696048911,0.0020,446043,1,27735994
1545696049708,0.0080,446043,1,27735995
1545696049903,0.0731,446043,1,27735996
1545696050597,0.0080,446043,1,27735997
1545696051649,0.0002,446010,0,27735998
1545696051870,0.0080,446043,1,27735999
1545696052606,0.0060,446011,0,27736000
1545696052716,0.0080,446043,1,27736001
1545696052842,0.0200,446043,1,27736002
1545696053688,0.0040,446011,0,27736003
1545696053743,0.0004,446010,0,27736004
1545696053976,0.0080,446043,1,27736005
1545696054177,0.0480,446043,1,27736006
1545696056688,0.0005,446026,1,27736007
1545696056741,0.0365,446043,1,27736008
1545696058662,0.0005,446026,0,27736009
1545696058713,0.0001,446020,0,27736010
1545696059597,0.0163,446043,1,27736011
1545696067609,0.0100,446043,0,27736012
1545696069656,0.0010,446128,1,27736013
1545696073653,0.0080,446045,0,27736014
1545696074660,0.0080,446055,0,27736015
1545696075633,0.0080,446045,0,27736016
1545696075780,0.0100,446045,0,27736017
1545696075908,0.2055,446045,0,27736018
1545696075932,0.0073,446043,0,27736019
1545696075958,0.0100,446023,0,27736020
1545696076605,0.0100,446010,0,27736021
1545696076629,0.0100,446010,0,27736022
1545696076751,0.0080,446004,0,27736023
1545696076874,0.0080,446015,1,27736024
1545696076993,0.0092,446015,1,27736025
1545696077608,0.0080,446015,0,27736026
1545696077731,0.0100,446015,0,27736027
1545696078690,0.0080,446019,0,27736028
1545696080685,0.0080,446025,0,27736029
1545696080736,0.0080,446019,0,27736030
1545696080790,0.0100,446019,0,27736031
1545696080840,0.0170,446016,0,27736032
1545696082726,0.0008,446110,1,27736033
1545696083743,0.0100,446017,0,27736034
1545696083968,0.1289,446017,0,27736035
1545696084027,0.0530,446016,0,27736036
1545696084085,0.0181,446015,0,27736037
1545696084312,0.0920,446016,0,27736038
1545696084366,0.2173,446015,0,27736039
1545696084416,0.0100,446006,0,27736040
1545696084468,0.3138,446000,0,27736041
1545696084523,0.0100,446000,0,27736042
1545696084588,0.1186,446000,0,27736043
1545696084642,0.0920,445980,0,27736044
1545696085065,0.0100,445970,1,27736045
1545696086675,0.0001,445968,0,27736046
1545696086734,0.0100,445968,0,27736047
1545696086978,0.0069,445960,1,27736048
1545696087030,0.0141,445970,1,27736049
1545696087606,0.0080,445968,0,27736050
1545696087743,0.0210,445970,1,27736051
1545696090598,0.0020,445968,0,27736052
1545696090623,0.0010,445968,0,27736053
1545696090648,0.0050,445787,0,27736054
1545696092696,0.0080,445968,0,27736055
1545696097627,0.0006,445988,1,27736056
1545696100488,0.0034,446008,1,27736057
1545696110525,0.0002,445988,1,27736058
1545696110552,0.0100,446009,1,27736059
1545696119680,0.0031,445993,0,27736060
1545696119705,0.0100,445993,0,27736061
1545696119731,0.0080,445992,0,27736062
1545696119755,0.0071,445992,0,27736063
1545696122487,0.0009,445992,0,27736064
1545696123534,0.0007,445990,1,27736065
1545696126655,0.0002,445988,0,27736066
1545696126706,0.0098,445988,0,27736067
1545696128506,0.0072,445990,1,27736068
1545696129561,0.0002,445988,0,27736069
1545696129707,0.0020,445968,0,27736070
1545696129733,0.0058,445968,0,27736071
1545696129837,0.0012,445990,1,27736072
1545696129861,0.0031,445991,1,27736073
1545696129887,0.0007,446098,1,27736074
1545696129912,0.0062,446204,1,27736075
1545696132556,0.0002,446060,0,27736076
1545696132580,0.0078,445978,0,27736077
1545696137601,0.0009,446086,1,27736078
1545696142563,0.0112,446194,1,27736079
1545696142622,0.0038,446204,1,27736080
1545696142677,0.0100,446204,1,27736081
1545696142729,0.0010,446214,1,27736082
1545696142780,0.0070,446239,1,27736083
1545696142832,0.0040,446248,1,27736084
1545696146560,0.0031,445977,0,27736085
1545696146614,0.0080,445976,0,27736086
1545696146668,0.0100,445974,0,27736087
1545696146721,0.0080,445972,0,27736088
1545696146774,0.0042,445968,0,27736089
1545696146825,0.0100,445968,0,27736090
1545696146875,0.0010,445889,0,27736091
1545696146925,0.0080,445880,0,27736092
1545696146976,0.0080,445880,0,27736093
1545696148531,0.0080,445762,0,27736094
1545696148585,0.0020,445752,0,27736095
1545696148822,0.0100,445800,1,27736096
1545696149031,0.0297,445800,1,27736097
1545696151552,0.0004,445846,0,27736098
1545696151604,0.0282,445830,0,27736099
1545696151840,0.0006,445985,1,27736100
1545696152550,0.0100,445859,0,27736101
1545696154552,0.0900,445859,0,27736102
1545696154603,0.0100,445846,0,27736103
1545696155553,0.0100,445800,0,27736104
1545696155809,0.0674,445810,1,27736105
1545696158721,0.0080,445801,0,27736106
1545696159965,0.0020,445801,0,27736107
1545696159993,0.0060,445801,0,27736108
1545696160161,0.0040,445801,0,27736109
1545696160185,0.0060,445800,0,27736110
1545696160301,0.0126,445800,0,27736111
1545696160329,0.0156,445800,0,27736112
1545696162925,0.0200,445800,0,27736113
1545696163908,0.0100,445800,0,27736114
1545696165968,0.0060,445800,0,27736115
1545696166220,0.0003,445804,1,27736116
1545696167954,0.0100,445800,0,27736117
1545696170123,0.0112,445805,0,27736118
1545696170187,0.0064,445800,0,27736119
1545696171935,0.0100,445800,0,27736120
1545696172113,0.0868,445800,0,27736121
1545696173909,0.0260,445800,0,27736122
1545696174066,0.0004,445808,1,27736123
1545696174096,0.0031,445809,1,27736124
1545696174124,0.0100,445809,1,27736125
1545696174149,0.0100,445810,1,27736126
1545696175953,0.0100,445800,0,27736127
1545696177962,0.0016,445800,0,27736128
1545696177987,0.0600,445615,0,27736129
1545696178027,0.0010,445579,0,27736130
1545696178055,0.0010,445492,0,27736131
1545696178081,0.0600,445461,0,27736132
1545696178106,0.0050,445444,0,27736133
1545696178207,0.0100,445440,1,27736134
1545696178966,0.0010,445389,0,27736135
1545696179202,0.0100,445389,0,27736136
1545696179406,0.0090,445389,0,27736137
1545696179457,0.0100,445367,0,27736138
1545696179510,0.0010,445366,0,27736139
1545696179714,0.3902,445366,0,27736140
1545696179764,0.0100,445354,0,27736141
1545696179821,0.0100,445329,0,27736142
1545696179875,0.0457,445329,0,27736143
1545696180284,0.0583,445309,1,27736144
1545696180467,0.0100,445309,1,27736145
1545696181062,0.0160,445309,1,27736146
1545696181112,0.0766,445443,1,27736147
1545696181971,0.0080,445309,0,27736148
1545696182229,0.1442,445443,1,27736149
1545696182280,0.0300,445526,1,27736150
1545696182332,0.0501,445554,1,27736151
1545696186913,0.0080,445313,0,27736152
1545696186938,0.0080,445313,0,27736153
1545696186962,0.0422,445310,0,27736154
1545696187925,0.0007,445426,1,27736155
1545696189997,0.0100,445533,1,27736156
1545696190914,0.0080,445488,1,27736157
1545696190938,0.1923,445533,1,27736158
1545696193007,0.0080,445443,1,27736159
1545696193059,0.0230,445532,1,27736160
1545696193981,0.0100,445532,1,27736161
1545696195033,0.0200,445532,1,27736162
1545696201972,0.0004,445438,1,27736163
1545696202991,0.0067,445533,1,27736164
1545696203186,0.0070,445533,1,27736165
1545696203237,0.0100,445533,1,27736166
1545696203287,0.0238,445553,1,27736167
1545696203338,0.0473,445554,1,27736168
1545696203536,0.0090,445554,1,27736169
1545696203740,0.0100,445554,1,27736170
1545696205023,0.0996,445554,1,27736171
1545696205081,0.0228,445554,1,27736172
1545696206979,0.0190,445555,0,27736173
1545696208060,0.0100,445555,1,27736174
1545696213963,0.0010,445383,0,27736175
1545696214002,0.0080,445320,0,27736176
1545696214028,0.0010,445320,0,27736177
1545696216082,0.0009,445431,1,27736178
1545696227028,0.0031,445331,0,27736179
1545696227080,0.0080,445330,0,27736180
1545696227130,0.0080,445325,0,27736181
1545696229017,0.0070,445319,0,27736182
1545696229081,0.0503,445309,0,27736183
1545696229132,0.0050,445309,0,27736184
1545696229188,0.0100,445309,0,27736185
1545696229243,0.1080,445305,0,27736186
1545696229961,0.0061,445305,1,27736187
1545696230992,0.0080,445306,0,27736188
1545696231206,0.0001,445306,0,27736189
1545696231418,0.0061,445306,0,27736190
1545696232010,0.0327,445306,0,27736191
1545696232048,0.0001,445303,0,27736192
1545696232081,0.0032,445302,0,27736193
1545696232955,0.0468,445302,0,27736194
1545696232994,0.0010,445215,0,27736195
1545696233030,0.0332,445165,0,27736196
1545696233166,0.0595,445165,0,27736197
1545696233207,0.0100,445161,0,27736198
1545696233238,0.0100,445144,0,27736199
1545696233267,0.0099,445077,0,27736200
1545696233296,0.1620,445034,0,27736201
1545696233319,0.0100,445000,0,27736202
1545696233345,0.0002,445000,0,27736203
1545696233388,0.0010,444990,0,27736204
1545696233452,0.0500,444934,0,27736205
1545696233976,0.0080,445175,0,27736206
1545696234029,0.0020,444928,0,27736207
1545696234247,0.0200,445149,0,27736208
1545696234939,0.0200,445149,0,27736209
1545696236962,0.0100,445281,1,27736210
1545696237993,0.0080,445284,0,27736211
1545696239019,0.0010,444992,0,27736212
1545696239046,0.0070,444929,0,27736213
1545696245023,0.0006,445121,1,27736214
1545696245073,0.0080,445242,1,27736215
1545696245123,0.0031,445251,1,27736216
1545696245173,0.0313,445252,1,27736217
1545696248947,0.0100,445252,1,27736218
1545696249077,0.0099,445251,1,27736219
1545696249107,0.0431,445252,1,27736220
1545696250947,0.0200,445284,1,27736221
1545696251073,0.0091,445284,1,27736222
1545696251099,0.0100,445284,1,27736223
1545696251124,0.0050,445290,1,27736224
1545696251149,0.0080,445325,1,27736225
1545696251173,0.0010,445409,1,27736226
1545696251197,0.0059,445455,1,27736227
1545696259938,0.0009,445505,1,27736228
1545696259968,0.0251,445555,1,27736229
1545696260997,0.0009,445505,0,27736230
1545696261035,0.0181,445455,0,27736231
1545696261165,0.0156,445455,0,27736232
1545696261189,0.0050,445455,0,27736233
1545696264059,0.0079,445331,0,27736234
1545696264086,0.0100,445300,0,27736235
1545696264113,0.0021,445300,0,27736236
1545696264214,0.0079,445300,0,27736237
1545696264237,0.0010,445205,0,27736238
1545696264262,0.0010,445143,0,27736239
1545696264285,0.0006,445121,0,27736240
1545696264309,0.0080,445060,0,27736241
1545696264333,0.0080,445055,0,27736242
1545696264358,0.0085,445050,0,27736243
1545696273932,0.0080,445086,0,27736244
1545696273961,0.0020,445081,0,27736245
1545696274100,0.0003,445227,1,27736246
1545696280720,0.0080,445325,1,27736247
1545696280766,0.0020,445370,1,27736248
1545696288782,0.0007,445241,1,27736249
1545696293819,0.0016,445373,1,27736250
1545696294008,0.0006,445373,1,27736251
1545696294701,0.0078,445373,1,27736252
1545696294730,0.0060,445451,1,27736253
1545696294757,0.0061,445461,1,27736254
1545696302799,0.0080,445451,1,27736255
1545696302852,0.0600,445461,1,27736256
1545696303815,0.0002,445303,1,27736257
1545696308777,0.0002,445303,0,27736258
1545696308833,0.0010,445176,0,27736259
1545696308885,0.0031,445165,0,27736260
1545696308937,0.0050,445164,0,27736261
1545696308989,0.0100,445154,0,27736262
1545696309041,0.0070,445138,0,27736263
1545696309092,0.0050,445054,0,27736264
1545696309145,0.0021,444992,0,27736265
1545696309848,0.0010,444992,0,27736266
1545696312765,0.0100,445184,0,27736267
1545696318783,0.0008,445343,1,27736268
1545696321879,0.0100,445199,0,27736269
1545696322082,0.0260,445199,0,27736270
1545696333715,0.0006,445271,1,27736271
1545696347641,0.0007,445256,1,27736272
1545696360705,0.0007,445256,1,27736273
1545696361636,0.0112,445303,1,27736274
1545696361666,0.0088,445313,1,27736275
1545696366676,0.0080,445209,0,27736276
1545696366729,0.0020,445200,0,27736277
1545696366962,0.0012,445313,1,27736278
1545696368634,0.0080,445326,0,27736279
1545696368659,0.0020,445326,0,27736280
