,0,1
0,2019-12-25 20:39:53.292456,"{'bids': [[7239.0, 1349485.0], [7238.5, 1472.0], [7238.0, 334257.0], [7237.5, 106566.0], [7237.0, 29951.0], [7236.5, 107448.0], [7236.0, 99842.0], [7235.5, 163973.0], [7235.0, 248280.0], [7234.5, 168631.0], [7234.0, 237119.0], [7233.5, 95449.0], [7233.0, 126821.0], [7232.5, 99180.0], [7232.0, 118081.0], [7231.5, 41412.0], [7231.0, 55967.0], [7230.5, 63438.0], [7230.0, 98756.0], [7229.5, 41864.0], [7229.0, 427631.0], [7228.5, 73824.0], [7228.0, 24554.0], [7227.5, 133902.0], [7227.0, 88640.0]], 'asks': [[7239.5, 452687.0], [7240.0, 187865.0], [7240.5, 35054.0], [7241.0, 68325.0], [7241.5, 132975.0], [7242.0, 17470.0], [7242.5, 62025.0], [7243.0, 114567.0], [7243.5, 94857.0], [7244.0, 49641.0], [7244.5, 98894.0], [7245.0, 347760.0], [7245.5, 64371.0], [7246.0, 341286.0], [7246.5, 432137.0], [7247.0, 140271.0], [7247.5, 141693.0], [7248.0, 60489.0], [7248.5, 141483.0], [7249.0, 122414.0], [7249.5, 103380.0], [7250.0, 310728.0], [7250.5, 54896.0], [7251.0, 89963.0], [7251.5, 79248.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
1,2019-12-25 20:40:54.787504,"{'bids': [[7236.5, 1016636.0], [7236.0, 4816.0], [7235.5, 191710.0], [7235.0, 245012.0], [7234.5, 38937.0], [7234.0, 33509.0], [7233.5, 144721.0], [7233.0, 111785.0], [7232.5, 243237.0], [7232.0, 108354.0], [7231.5, 131980.0], [7231.0, 130627.0], [7230.5, 172498.0], [7230.0, 179765.0], [7229.5, 91863.0], [7229.0, 495973.0], [7228.5, 36258.0], [7228.0, 114716.0], [7227.5, 41483.0], [7227.0, 87602.0], [7226.5, 90329.0], [7226.0, 208785.0], [7225.5, 27593.0], [7225.0, 204679.0], [7224.5, 177349.0]], 'asks': [[7237.0, 930505.0], [7237.5, 87733.0], [7238.0, 73514.0], [7238.5, 18002.0], [7239.0, 36054.0], [7239.5, 196976.0], [7240.0, 242368.0], [7240.5, 141883.0], [7241.0, 137669.0], [7241.5, 67359.0], [7242.0, 164161.0], [7242.5, 171062.0], [7243.0, 228559.0], [7243.5, 285352.0], [7244.0, 97218.0], [7244.5, 112291.0], [7245.0, 315593.0], [7245.5, 88919.0], [7246.0, 105859.0], [7246.5, 163138.0], [7247.0, 52116.0], [7247.5, 62469.0], [7248.0, 27645.0], [7248.5, 153423.0], [7249.0, 63995.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
2,2019-12-25 20:41:55.075581,"{'bids': [[7243.0, 1242850.0], [7242.5, 42074.0], [7242.0, 205480.0], [7241.5, 70.0], [7241.0, 150270.0], [7240.5, 13780.0], [7240.0, 413889.0], [7239.5, 221538.0], [7239.0, 93426.0], [7238.5, 74258.0], [7238.0, 139105.0], [7237.5, 176311.0], [7237.0, 59509.0], [7236.5, 643740.0], [7236.0, 135354.0], [7235.5, 131322.0], [7235.0, 117307.0], [7234.5, 107147.0], [7234.0, 83964.0], [7233.5, 62145.0], [7233.0, 36065.0], [7232.5, 102688.0], [7232.0, 67869.0], [7231.5, 43897.0], [7231.0, 73672.0]], 'asks': [[7243.5, 89795.0], [7244.0, 19831.0], [7244.5, 124501.0], [7245.0, 218485.0], [7245.5, 64743.0], [7246.0, 77453.0], [7246.5, 132762.0], [7247.0, 325977.0], [7247.5, 192729.0], [7248.0, 45605.0], [7248.5, 377381.0], [7249.0, 332575.0], [7249.5, 74170.0], [7250.0, 328706.0], [7250.5, 103563.0], [7251.0, 62269.0], [7251.5, 145045.0], [7252.0, 58213.0], [7252.5, 15442.0], [7253.0, 130147.0], [7253.5, 8533.0], [7254.0, 69281.0], [7254.5, 109314.0], [7255.0, 98708.0], [7255.5, 173892.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
3,2019-12-25 20:42:55.373796,"{'bids': [[7243.0, 1096013.0], [7242.5, 10644.0], [7242.0, 39338.0], [7241.5, 4376.0], [7241.0, 158681.0], [7240.5, 64294.0], [7240.0, 275737.0], [7239.5, 397037.0], [7239.0, 155060.0], [7238.5, 110761.0], [7238.0, 137168.0], [7237.5, 205649.0], [7237.0, 233466.0], [7236.5, 536518.0], [7236.0, 136561.0], [7235.5, 135782.0], [7235.0, 161166.0], [7234.5, 31648.0], [7234.0, 75329.0], [7233.5, 18949.0], [7233.0, 68220.0], [7232.5, 87590.0], [7232.0, 82698.0], [7231.5, 74858.0], [7231.0, 57237.0]], 'asks': [[7243.5, 614873.0], [7244.0, 53991.0], [7244.5, 166173.0], [7245.0, 249685.0], [7245.5, 119365.0], [7246.0, 175241.0], [7246.5, 172786.0], [7247.0, 226714.0], [7247.5, 68460.0], [7248.0, 438034.0], [7248.5, 95311.0], [7249.0, 197886.0], [7249.5, 241743.0], [7250.0, 217995.0], [7250.5, 90078.0], [7251.0, 47099.0], [7251.5, 159911.0], [7252.0, 34014.0], [7252.5, 40103.0], [7253.0, 122646.0], [7253.5, 67560.0], [7254.0, 55833.0], [7254.5, 65633.0], [7255.0, 76712.0], [7255.5, 137239.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
4,2019-12-25 20:43:55.657841,"{'bids': [[7243.0, 1185957.0], [7242.5, 46528.0], [7242.0, 9000.0], [7241.5, 256250.0], [7241.0, 68844.0], [7240.5, 35717.0], [7240.0, 341724.0], [7239.5, 212831.0], [7239.0, 140353.0], [7238.5, 68258.0], [7238.0, 155883.0], [7237.5, 112154.0], [7237.0, 233881.0], [7236.5, 585980.0], [7236.0, 122953.0], [7235.5, 63575.0], [7235.0, 93676.0], [7234.5, 98449.0], [7234.0, 76616.0], [7233.5, 76816.0], [7233.0, 54258.0], [7232.5, 103797.0], [7232.0, 63424.0], [7231.5, 71129.0], [7231.0, 101842.0]], 'asks': [[7243.5, 350283.0], [7244.0, 65704.0], [7244.5, 126369.0], [7245.0, 424453.0], [7245.5, 41745.0], [7246.0, 87092.0], [7246.5, 226482.0], [7247.0, 147940.0], [7247.5, 245604.0], [7248.0, 174693.0], [7248.5, 100891.0], [7249.0, 517068.0], [7249.5, 225880.0], [7250.0, 237672.0], [7250.5, 156397.0], [7251.0, 66082.0], [7251.5, 221686.0], [7252.0, 48275.0], [7252.5, 26909.0], [7253.0, 145332.0], [7253.5, 8930.0], [7254.0, 56831.0], [7254.5, 25465.0], [7255.0, 275828.0], [7255.5, 137165.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
5,2019-12-25 20:44:55.942279,"{'bids': [[7243.0, 1118138.0], [7242.5, 150277.0], [7242.0, 41273.0], [7241.5, 92703.0], [7241.0, 276281.0], [7240.5, 252211.0], [7240.0, 110514.0], [7239.5, 145681.0], [7239.0, 133486.0], [7238.5, 119755.0], [7238.0, 182936.0], [7237.5, 88989.0], [7237.0, 202021.0], [7236.5, 515405.0], [7236.0, 100399.0], [7235.5, 54928.0], [7235.0, 227234.0], [7234.5, 30919.0], [7234.0, 67685.0], [7233.5, 56967.0], [7233.0, 54594.0], [7232.5, 50571.0], [7232.0, 69118.0], [7231.5, 100932.0], [7231.0, 101042.0]], 'asks': [[7243.5, 145979.0], [7244.0, 55686.0], [7244.5, 82175.0], [7245.0, 50706.0], [7245.5, 50527.0], [7246.0, 66251.0], [7246.5, 95918.0], [7247.0, 240584.0], [7247.5, 87911.0], [7248.0, 190429.0], [7248.5, 71941.0], [7249.0, 303373.0], [7249.5, 432420.0], [7250.0, 341127.0], [7250.5, 94656.0], [7251.0, 64855.0], [7251.5, 171461.0], [7252.0, 50136.0], [7252.5, 23685.0], [7253.0, 115646.0], [7253.5, 39981.0], [7254.0, 121094.0], [7254.5, 27804.0], [7255.0, 191213.0], [7255.5, 172062.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
6,2019-12-25 20:45:56.241701,"{'bids': [[7249.0, 1131004.0], [7248.5, 114460.0], [7248.0, 118758.0], [7247.5, 128456.0], [7247.0, 110188.0], [7246.5, 364381.0], [7246.0, 271890.0], [7245.5, 493795.0], [7245.0, 135942.0], [7244.5, 116117.0], [7244.0, 266773.0], [7243.5, 117737.0], [7243.0, 229720.0], [7242.5, 96227.0], [7242.0, 224571.0], [7241.5, 35014.0], [7241.0, 121096.0], [7240.5, 112566.0], [7240.0, 99811.0], [7239.5, 41453.0], [7239.0, 27164.0], [7238.5, 43860.0], [7238.0, 114509.0], [7237.5, 101145.0], [7237.0, 39002.0]], 'asks': [[7249.5, 94813.0], [7250.0, 232748.0], [7250.5, 20378.0], [7251.0, 5733.0], [7251.5, 40273.0], [7252.0, 64862.0], [7252.5, 92857.0], [7253.0, 312008.0], [7253.5, 100236.0], [7254.0, 327249.0], [7254.5, 172562.0], [7255.0, 201442.0], [7255.5, 255160.0], [7256.0, 249928.0], [7256.5, 83786.0], [7257.0, 116302.0], [7257.5, 79595.0], [7258.0, 30689.0], [7258.5, 84664.0], [7259.0, 31503.0], [7259.5, 183024.0], [7260.0, 211337.0], [7260.5, 81560.0], [7261.0, 80012.0], [7261.5, 7607.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
7,2019-12-25 20:46:56.569382,"{'bids': [[7243.5, 907388.0], [7243.0, 157460.0], [7242.5, 120366.0], [7242.0, 154259.0], [7241.5, 258808.0], [7241.0, 165514.0], [7240.5, 128901.0], [7240.0, 141488.0], [7239.5, 273698.0], [7239.0, 101554.0], [7238.5, 51982.0], [7238.0, 182399.0], [7237.5, 151336.0], [7237.0, 98394.0], [7236.5, 401254.0], [7236.0, 131849.0], [7235.5, 32017.0], [7235.0, 412376.0], [7234.5, 94619.0], [7234.0, 42307.0], [7233.5, 92347.0], [7233.0, 130247.0], [7232.5, 48663.0], [7232.0, 19957.0], [7231.5, 144100.0]], 'asks': [[7244.0, 686773.0], [7244.5, 2548.0], [7245.0, 163194.0], [7245.5, 1124.0], [7246.0, 1614.0], [7246.5, 88338.0], [7247.0, 34184.0], [7247.5, 38310.0], [7248.0, 119103.0], [7248.5, 110419.0], [7249.0, 69799.0], [7249.5, 324481.0], [7250.0, 336877.0], [7250.5, 340871.0], [7251.0, 163036.0], [7251.5, 191620.0], [7252.0, 157432.0], [7252.5, 101312.0], [7253.0, 84075.0], [7253.5, 38684.0], [7254.0, 34268.0], [7254.5, 155157.0], [7255.0, 130040.0], [7255.5, 85355.0], [7256.0, 11259.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
8,2019-12-25 20:47:56.875149,"{'bids': [[7247.5, 168104.0], [7247.0, 26149.0], [7246.5, 155.0], [7246.0, 11696.0], [7245.5, 5196.0], [7245.0, 882.0], [7244.5, 153458.0], [7244.0, 12374.0], [7243.5, 241297.0], [7243.0, 31929.0], [7242.5, 112824.0], [7242.0, 122853.0], [7241.5, 105372.0], [7241.0, 118237.0], [7240.5, 153997.0], [7240.0, 148231.0], [7239.5, 65888.0], [7239.0, 84596.0], [7238.5, 132631.0], [7238.0, 104965.0], [7237.5, 68897.0], [7237.0, 144842.0], [7236.5, 404680.0], [7236.0, 121294.0], [7235.5, 65907.0]], 'asks': [[7248.0, 2188651.0], [7248.5, 207289.0], [7249.0, 120477.0], [7249.5, 245274.0], [7250.0, 407589.0], [7250.5, 82962.0], [7251.0, 153037.0], [7251.5, 501984.0], [7252.0, 64245.0], [7252.5, 95048.0], [7253.0, 108748.0], [7253.5, 35953.0], [7254.0, 39726.0], [7254.5, 189243.0], [7255.0, 78641.0], [7255.5, 33209.0], [7256.0, 42444.0], [7256.5, 33414.0], [7257.0, 58945.0], [7257.5, 42778.0], [7258.0, 75123.0], [7258.5, 49998.0], [7259.0, 71156.0], [7259.5, 198864.0], [7260.0, 109706.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
9,2019-12-25 20:48:57.193546,"{'bids': [[7248.5, 1716453.0], [7248.0, 428600.0], [7247.5, 188404.0], [7247.0, 12842.0], [7246.5, 377631.0], [7246.0, 49588.0], [7245.5, 112463.0], [7245.0, 125711.0], [7244.5, 43909.0], [7244.0, 91560.0], [7243.5, 134444.0], [7243.0, 193627.0], [7242.5, 133885.0], [7242.0, 74889.0], [7241.5, 108587.0], [7241.0, 163095.0], [7240.5, 17182.0], [7240.0, 145372.0], [7239.5, 86259.0], [7239.0, 46880.0], [7238.5, 85927.0], [7238.0, 176346.0], [7237.5, 66499.0], [7237.0, 35514.0], [7236.5, 357222.0]], 'asks': [[7249.0, 2246159.0], [7249.5, 21375.0], [7250.0, 107616.0], [7250.5, 2742.0], [7251.0, 83900.0], [7251.5, 85179.0], [7252.0, 50796.0], [7252.5, 97377.0], [7253.0, 123164.0], [7253.5, 45894.0], [7254.0, 284646.0], [7254.5, 254315.0], [7255.0, 153325.0], [7255.5, 302134.0], [7256.0, 81782.0], [7256.5, 93530.0], [7257.0, 214467.0], [7257.5, 44867.0], [7258.0, 66409.0], [7258.5, 112843.0], [7259.0, 38974.0], [7259.5, 186466.0], [7260.0, 142681.0], [7260.5, 33067.0], [7261.0, 48870.0]], 'timestamp': None, 'datetime': None, 'nonce': None}"
